accx,accy,accz,label
-0.044,0.051,-0.1584,5
-0.0524,0.1162,-0.203,5
-0.0197,0.1181,-0.1859,5
-0.0146,0.1424,-0.0432,5
-0.0279,0.0755,0.0742,5
-0.0069,0.0927,0.1269,5
-0.0325,0.1547,0.0142,5
-0.0426,0.1218,-0.0886,5
0.0324,0.0878,-0.0651,5
-0.0362,0.1189,0.0111,5
-0.0773,0.1648,-0.0269,5
-0.0856,0.1357,-0.0343,5
-0.0844,0.1336,0.0027,5
-0.0448,0.0326,-0.0661,5
-0.0998,0.0874,-0.0158,5
0.0788,0.1453,-0.0557,5
0.108,0.1335,-0.0842,5
-0.0345,0.1408,-0.0613,5
-0.0537,0.0948,0.0119,5
-0.1308,0.0395,0.0113,5
-0.0374,0.0734,-0.046,5
-0.0374,0.0734,-0.046,5
0.006,0.0975,-0.0558,5
0.0113,0.1527,0.0294,5
-0.0083,0.1098,0.0638,5
-0.038,0.1068,0.0328,5
-0.034,0.0949,-0.0213,5
-0.0453,0.0979,-0.0685,5
-0.0574,0.131,-0.0682,5
-0.0573,0.129,-0.0012,5
-0.0573,0.129,-0.0012,5
-0.0238,0.1099,0.0017,5
0.0057,0.1221,0.02,5
-0.0302,0.1222,0.0501,5
-0.0534,0.0502,0.0171,5
-0.034,0.0692,-0.0564,5
-0.0488,0.0903,-0.1564,5
-0.0462,0.1143,-0.0736,5
-0.0186,0.1483,0.029,5
-0.0568,0.0791,0.0676,5
-0.0568,0.0791,0.0676,5
-0.0674,0.0901,-0.0153,5
-0.0295,0.1101,-0.1803,5
-0.0067,0.0862,-0.1675,5
-0.0286,0.1226,0.1334,5
-0.0324,0.1486,0.1891,5
-0.0926,0.0986,0.1065,5
-0.062,0.1003,-0.1018,5
-0.0763,0.0934,-0.1799,5
-0.0074,0.1147,-0.0708,5
0.0279,0.0937,-0.007,5
0.0296,0.1149,0.144,5
-0.0128,0.0959,0.2087,5
-0.0069,0.0769,0.0615,5
-0.0763,0.0841,-0.1985,5
-0.0909,0.1152,-0.1689,5
-0.0974,0.1423,0.0343,5
-0.054,0.1202,0.0871,5
-0.0163,0.1062,0.0097,5
0.0044,0.1183,-0.0531,5
0.0044,0.1183,-0.0531,5
0.0226,0.0683,-0.0307,5
0.008,0.0965,-0.0082,5
-0.0275,0.1016,-0.0386,5
-0.0437,0.1087,-0.0249,5
-0.0225,0.1038,-0.0227,5
-0.0356,0.1208,0.0043,5
0.0334,0.148,-0.0681,5
-0.0544,0.1121,-0.0869,5
-0.074,0.119,0.0249,5
-0.074,0.119,0.0249,5
-0.0264,0.0729,0.0381,5
-0.017,0.1018,-0.0345,5
-0.0014,0.1378,-0.0876,5
-0.0785,0.0949,-0.008,5
-0.0235,0.1088,-0.0363,5
-0.0104,0.1428,-0.0495,5
0.0262,0.0808,-0.0121,5
-0.028,0.112,0.0256,5
-0.0219,0.069,-0.0213,5
-0.0219,0.069,-0.0213,5
-0.0086,0.0851,-0.0702,5
-0.1183,0.0592,-0.0184,5
0.0719,0.131,0.0306,5
-0.0893,0.073,-0.0961,5
-0.1074,0.1569,-0.1353,5
-0.0721,0.1038,-0.0809,5
-0.0024,0.1327,0.049,5
0.0074,0.1357,0.1798,5
-0.0561,0.1036,0.1154,5
-0.0561,0.1036,0.1154,5
-0.11,0.1014,-0.038,5
-0.1004,0.0914,-0.1095,5
-0.0555,0.0653,-0.0912,5
-0.1659,0.0963,0.0328,5
0.0957,0.0631,0.052,5
0.1613,0.0634,-0.0583,5
0.0069,0.1596,-0.143,5
-0.0664,0.0827,-0.0174,5
-0.0996,0.1186,0.1546,5
-0.0996,0.1186,0.1546,5
-0.0723,0.1373,0.1706,5
-0.1023,0.1062,0.0174,5
-0.055,0.0408,-0.1996,5
0.0231,0.1081,-0.1557,5
-0.0039,0.1202,-0.0465,5
-0.0066,0.0995,0.1776,5
0.0004,0.0996,0.1215,5
-0.1229,0.1446,0.0311,5
-0.1348,0.0914,-0.0495,5
-0.0772,0.1203,-0.114,5
0.0028,0.1253,-0.1449,5
-0.0106,0.1014,-0.0834,5
-0.0572,0.1375,0.0482,5
-0.0948,0.1013,0.1493,5
-0.0894,0.1131,0.0686,5
-0.0607,0.087,-0.1233,5
-0.0061,0.0721,-0.1576,5
0.0074,0.0803,-0.0696,5
0.0074,0.0803,-0.0696,5
0.1022,0.0823,0.1176,5
0.1664,0.1234,0.0295,5
0.0161,0.0848,-0.1514,5
-0.0227,0.112,-0.1775,5
-0.0632,0.1192,-0.0069,5
-0.1034,0.1212,0.0611,5
-0.1301,0.1671,0.1496,5
-0.0452,0.0657,0.0622,5
-0.0658,0.0967,-0.0942,5
-0.0658,0.0967,-0.0942,5
-0.0894,0.1158,-0.1814,5
-0.1124,0.1238,-0.1347,5
-0.0409,0.1548,-0.0026,5
0.0608,0.1208,0.1568,5
0.0538,0.0969,0.119,5
0.0054,0.071,-0.0004,5
-0.0205,0.066,-0.1117,5
-0.0291,0.1122,-0.1113,5
-0.0681,0.0953,-0.0308,5
-0.0729,0.1122,0.0151,5
-0.1098,0.1212,0.0118,5
-0.114,0.1161,0.0269,5
-0.017,0.1,-0.0457,5
-0.0208,0.052,-0.0606,5
-0.0003,0.0541,-0.0439,5
-0.0488,0.0922,0.0024,5
-0.229,0.2787,0.6762,5
0.1665,0.2266,-0.1095,5
0.0853,0.0972,-0.496,5
-0.0022,0.0374,-0.484,5
-0.0684,-0.0244,-0.3681,5
-0.2281,0.1726,0.1143,5
-0.2179,0.1502,0.3716,5
-0.0065,0.0636,0.1849,5
0.0669,0.1326,-0.1216,5
0.0465,0.0948,-0.185,5
-0.0064,0.049,-0.1535,5
-0.0929,0.126,0.0308,5
-0.0929,0.126,0.0308,5
-0.1092,0.1118,0.1099,5
-0.097,0.0947,0.1059,5
-0.0377,0.0874,0.0416,5
0.0526,0.1373,-0.0825,5
-0.0271,0.0847,-0.0751,5
-0.0591,0.1137,0.0335,5
-0.0875,0.1087,0.0673,5
-0.1016,0.1015,0.0111,5
-0.0814,0.0963,-0.073,5
-0.0814,0.0963,-0.073,5
-0.0667,0.1231,-0.0414,5
-0.0298,0.1182,0.0164,5
-0.0617,0.068,0.0584,5
0.0174,0.0988,0.004,5
0.0406,0.087,-0.1049,5
-0.0074,0.1061,-0.1229,5
-0.0443,0.0222,-0.0936,5
-0.1037,0.1111,-0.0052,5
-0.0526,0.13,0.1342,5
-0.0526,0.13,0.1342,5
-0.031,0.1348,0.0608,5
-0.0472,0.1007,-0.0241,5
-0.0401,0.1108,-0.0715,5
-0.0196,0.1059,-0.0757,5
-0.2694,0.2657,0.2726,5
0.0725,0.0526,0.0141,5
0.0707,0.0767,-0.0613,5
-0.0583,0.0888,-0.1813,5
-0.0583,0.0888,-0.1813,5
-0.0821,0.0839,-0.0446,5
-0.1109,0.1347,0.0598,5
-0.0752,0.1416,0.0889,5
0.0295,0.1344,-0.0237,5
0.0048,0.0935,-0.0318,5
-0.0543,0.0814,0.0097,5
-0.0543,0.0814,0.0097,5
-0.0406,0.0953,-0.016,5
-0.0038,0.1053,-0.0356,5
0.011,0.1263,-0.0116,5
-0.0359,0.1243,0.0792,5
-0.0348,0.0762,0.0396,5
-0.038,0.0931,-0.0628,5
-0.0666,0.107,-0.1137,5
-0.0346,0.069,-0.0741,5
0.0028,0.0982,-0.0144,5
-0.0194,0.0982,0.028,5
-0.0573,0.1022,0.0768,5
-0.0996,0.1119,0.107,5
-0.0844,0.0946,-0.0523,5
-0.0667,0.0974,-0.1713,5
-0.0412,0.1334,-0.1291,5
0.0138,0.1375,0.0392,5
-0.0102,0.1164,0.1564,5
-0.0935,0.1012,0.0481,5
-0.0385,0.1037,-0.1337,5
-0.0385,0.1037,-0.1337,5
-0.0139,0.1087,-0.1108,5
-0.0143,0.1298,-0.0516,5
-0.0313,0.0849,0.06,5
-0.0825,0.1726,0.1916,5
-0.0122,0.1203,-0.0966,5
-0.0772,0.0982,-0.1746,5
-0.0627,0.1151,-0.0966,5
-0.0031,0.084,0.0794,5
0.0483,0.0979,0.0519,5
0.0496,0.0979,0.0621,5
0.0124,0.091,-0.0137,5
-0.0251,0.0811,-0.0589,5
-0.0492,0.11,-0.0187,5
-0.0904,0.127,-0.0486,5
-0.0695,0.1319,-0.0481,5
-0.055,0.0998,0.0128,5
-0.0439,0.1596,0.03,5
-0.0114,0.1115,0.0314,5
-0.0478,0.0924,-0.0162,5
-0.0478,0.0924,-0.0162,5
-0.0752,0.1093,-0.0005,5
-0.076,0.1162,-0.0617,5
-0.0339,0.0922,-0.0904,5
-0.0476,0.1091,-0.0451,5
-0.0939,0.1191,0.048,5
-0.0345,0.1429,0.0667,5
-0.0029,0.1188,-0.004,5
-0.0232,0.1068,-0.0354,5
-0.0232,0.1428,-0.0426,5
-0.0239,0.0899,-0.0222,5
-0.0058,0.0709,-0.047,5
-0.015,0.0969,-0.032,5
-0.0358,0.1208,-0.0229,5
0.0101,0.1278,-0.0295,5
-0.0196,0.1568,-0.0284,5
-0.0734,0.1398,0.0657,5
-0.0655,0.0825,0.0425,5
0,0.1182,-0.0823,5
0,0.1182,-0.0823,5
-0.0113,0.0983,-0.109,5
-0.0322,0.0602,-0.0435,5
0.0036,0.1062,0.0129,5
-0.0309,0.1103,-0.0001,5
-0.0696,0.1081,0.0039,5
-0.0625,0.0551,-0.0159,5
-0.0772,0.125,-0.0462,5
-0.0551,0.1698,0.0039,5
-0.0263,0.0667,-0.0113,5
-0.0399,0.1057,0.0553,5
-0.0705,0.1127,0.0232,5
-0.1045,0.1265,0.0035,5
-0.097,0.1363,-0.0326,5
-0.0753,0.1171,-0.0574,5
-0.099,0.102,-0.0041,5
-0.0722,0.1087,0.0682,5
-0.0185,0.0967,0.0019,5
-0.0195,0.1426,-0.0695,5
-0.0272,0.1307,-0.0398,5
-0.0272,0.1307,-0.0398,5
-0.0295,0.1428,0.0173,5
-0.0461,0.1067,0.0301,5
-0.072,0.0685,0.0115,5
-0.0363,0.0924,-0.0523,5
-0.0641,0.1163,-0.1008,5
-0.035,0.1115,-0.0791,5
-0.0098,0.1597,-0.0736,5
-0.02,0.0997,0.02,5
-0.0269,0.1015,0.0031,5
-0.0269,0.1015,0.0031,5
-0.0305,0.0894,-0.0541,5
0.0067,0.1015,-0.0627,5
0.0175,0.1138,-0.0386,5
-0.0251,0.1121,0.0011,5
-0.028,0.1191,0.0056,5
-0.0905,0.1171,-0.0032,5
-0.129,0.1548,-0.0001,5
-0.0355,0.1166,-0.0285,5
0.006,0.1478,-0.0673,5
0.006,0.1478,-0.0673,5
-0.0339,0.1408,-0.0113,5
-0.0458,0.1308,-0.0025,5
-0.084,0.1047,-0.0321,5
-0.0565,0.0946,-0.0909,5
-0.0625,0.0926,-0.0081,5
-0.0522,0.1326,0.0374,5
-0.0402,0.0966,-0.0133,5
-0.0242,0.1087,-0.0382,5
-0.0418,0.1407,0.011,5
-0.0418,0.1407,0.011,5
-0.0574,0.0946,0.0032,5
-0.0328,0.1046,-0.0394,5
-0.05,0.1306,-0.0543,5
-0.0475,0.1237,0.0564,5
-0.0141,0.0997,0.0189,5
-0.0538,0.0967,-0.0338,5
-0.0438,0.1237,-0.0611,5
-0.0576,0.1546,-0.0054,5
-0.0659,0.1046,-0.004,5
-0.0249,0.1166,0.0347,5
-0.0179,0.1185,-0.0084,5
