accx,accy,accz,label
-3.8311,2.0789,-0.8451,3
-3.9278,1.6475,-1.1046,3
-3.6422,1.2491,-1.9018,3
-2.4006,1.3052,-1.7761,3
-0.9,1.5565,-0.6443,3
1.1752,2.065,0.9305,3
1.1752,2.065,0.9305,3
3.2633,2.057,0.9699,3
5.2149,2.9597,0.0116,3
6.0028,4.3431,-2.7026,3
4.8975,2.6332,-3.3681,3
3.0905,0.4782,-2.6086,3
0.3321,-0.2117,-1.1122,3
-0.9252,0.5424,-0.5593,3
-1.2549,-0.8041,-0.5941,3
-0.3428,-8.3076,-2.141,3
-0.3428,-8.3076,-2.141,3
-1.1297,-11.9281,-3.4156,3
-2.1343,-8.9769,-1.0282,3
-2.2197,-5.8663,-0.4464,3
0.7636,-5.8972,1.2225,3
1.4023,-3.9837,1.1301,3
0.397,-1.5602,0.4846,3
-0.4094,-0.9484,0.7045,3
-1.0677,-0.6415,2.1112,3
-1.4286,-0.5643,3.4344,3
-1.2286,-0.096,2.5539,3
-1.2841,1.124,-0.1111,3
0.0812,1.4092,-4.0823,3
0.0812,1.4092,-4.0823,3
1.2043,1.6426,-8.9157,3
0.2925,1.9817,-3.291,3
0.7864,1.805,-0.7195,3
0.7983,2.4361,0.0131,3
0.8248,3.208,0.0238,3
1.3535,3.7857,-0.011,3
2.4443,3.1443,-0.3404,3
3.2672,1.8071,-1.3639,3
1.2378,2.8082,-1.3763,3
-1.4172,3.7391,-1.0093,3
-2.5776,2.3375,-0.6356,3
-2.5776,2.3375,-0.6356,3
-2.3152,-0.2509,-0.232,3
-2.5193,-1.4111,0.224,3
-2.5043,-0.0649,0.8802,3
0.1802,-1.3177,0.7769,3
3.2652,-4.8952,0.455,3
5.1304,-7.0161,-0.0099,3
8.7796,-7.6154,-4.5789,3
6.1675,-7.6216,-9.2906,3
1.6123,-8.3704,-3.3076,3
-2.639,-7.8382,-0.196,3
-5.2946,-6.4389,1.8194,3
-5.7467,-5.9671,2.2856,3
