accx,accy,accz,label
2.2338,0.6202,-0.0873,2
1.0977,-0.2214,-0.435,2
-0.4949,-0.2856,-1.4916,2
-1.3084,0.052,-2.3537,2
-1.5021,0.3623,-1.9508,2
-1.2512,0.4027,-0.4541,2
-0.9115,0.1169,0.8477,2
-0.0714,0.0003,-0.2105,2
0.2905,-0.1547,-0.9231,2
1.0877,-0.4344,-1.7521,2
1.8486,-0.7866,-1.1255,2
2.4333,-0.2456,-0.4644,2
2.2309,0.3205,-0.0278,2
1.9541,0.2878,-0.1165,2
1.6616,-0.6643,-0.8192,2
1.3839,-1.8038,-0.9342,2
1.6794,-2.8529,-0.5586,2
2.6972,-3.5569,-0.8314,2
2.6972,-3.5569,-0.8314,2
3.2606,-4.143,-1.1891,2
3.2809,-4.4512,-1.7556,2
2.0837,-3.6347,-3.84,2
1.7435,-1.8456,-4.2042,2
2.379,-1.5278,-2.5964,2
3.4118,-0.8415,-0.5482,2
2.7073,-0.1341,1.9649,2
2.7361,-0.023,2.9714,2
2.0004,-1.3537,2.1029,2
0.0361,-2.2644,1.5749,2
-2.8497,-2.8236,1.0525,2
-3.9866,-2.0567,-1.8673,2
-4.5042,-1.1887,-5.6665,2
-4.5042,-1.1887,-5.6665,2
-3.305,-0.9908,2.03,2
-2.5501,-0.4761,2.8327,2
-3.7477,0.3389,2.7725,2
-4.1734,0.4117,2.525,2
-3.8266,0.3639,0.0537,2
-2.2252,-0.3824,0.0035,2
-2.1941,-0.9758,0.9508,2
-2.4866,-0.5246,1.1758,2
-2.7662,0.7462,0.3926,2
-3.0683,2.409,1.0996,2
-3.0683,2.409,1.0996,2
-2.4868,2.7836,1.6734,2
-1.063,2.538,1.4941,2
0.6724,1.6617,0.5235,2
2.2431,-0.286,-0.4172,2
1.1309,-0.533,0.8194,2
-2.4101,-2.3273,-0.5246,2
-1.866,-6.6147,-3.1733,2
-0.2999,-7.0268,1.187,2
0.1489,-4.0181,0.0015,2
0.1489,-4.0181,0.0015,2
0.9241,-2.3361,0.2239,2
1.2189,-2.3069,0.294,2
-0.3713,-1.0844,-0.1035,2
-0.4519,-1.0703,0.021,2
-0.4363,-1.0513,0.4007,2
-0.3155,-0.7307,0.6084,2
-0.2557,0.0182,0.6638,2
0.0805,0.8484,0.8233,2
0.2486,1.4721,0.6504,2
0.1007,1.293,0.5022,2
0.0244,0.9768,0.378,2
0.4326,0.3735,-0.2154,2
0.8162,0.3554,-0.8019,2
1.3376,0.6806,-2.0798,2
1.3376,0.6806,-2.0798,2
1.5239,1.0977,-1.7465,2
1.4622,1.4636,-0.832,2
1.5695,1.3943,0.5508,2
1.0791,0.8832,1.3862,2
0.0208,0.0341,0.3989,2
-1.4236,-1.2144,-2.565,2
-1.3988,-1.5521,-1.7704,2
-0.2969,-0.628,-0.9612,2
1.192,-0.0234,-0.8571,2
1.192,-0.0234,-0.8571,2
2.4894,0.2126,-0.2475,2
3.1074,0.4967,0.4251,2
2.7209,0.3127,0.1972,2
1.3493,-1.1534,-0.3329,2
0.901,-2.1786,-0.6337,2
0.8105,-3.0519,-0.9323,2
1.1729,-3.8024,-1.0003,2
2.4747,-3.738,-0.4673,2
3.2729,-3.7574,-0.633,2
2.3236,-3.6295,-3.8881,2
1.7589,-2.3121,-4.8852,2
2.0964,-0.8863,-3.9124,2
4.1618,-0.8338,-0.3574,2
4.1618,-0.8338,-0.3574,2
4.0473,-0.1825,1.5121,2
2.8146,0.3703,2.9194,2
3.0932,0.0104,3.0353,2
1.8861,-2.451,1.2301,2
-0.7984,-2.9954,1.2827,2
-3.5193,-2.3654,1.8715,2
-3.8252,-1.7644,-1.0117,2
-4.2597,-1.3274,-4.8105,2
-0.134,-1.2833,-0.616,2
-0.134,-1.2833,-0.616,2
-3.5835,-0.5597,1.9846,2
-4.8065,-0.1615,1.9679,2
-2.1515,-0.3209,1.1159,2
-2.1515,-0.3209,1.1159,2
-1.0906,-0.9209,1.2849,2
-1.7655,-1.4595,1.2739,2
-2.9595,-0.7843,0.4504,2
-3.499,0.5895,0.637,2
-3.5027,2.129,1.0785,2
-3.3247,3.0372,1.2067,2
-2.6091,3.143,0.7012,2
-1.2512,2.8201,-0.6277,2
0.744,2.5716,-0.5581,2
1.4672,2.0784,-0.426,2
1.4672,2.0784,-0.426,2
0.5791,1.3228,1.5054,2
1.5413,0.8244,1.27,2
-1.2498,-5.1871,-4.8874,2
0.3128,-10.24,-0.8637,2
1.4663,-6.1126,-1.9128,2
0.8456,-1.348,-0.8318,2
-0.6969,-0.0351,-0.7446,2
-1.484,-0.0446,-0.2529,2
-1.2992,-1.4467,0.5627,2
-1.2855,-1.8026,0.7735,2
-1.035,-2.6223,1.3691,2
-0.8424,-2.905,1.8398,2
-0.9209,-0.7849,1.8404,2
-0.9209,-0.7849,1.8404,2
-0.3674,-0.3094,1.365,2
0.658,0.0941,0.2947,2
1.6167,0.1093,-0.8224,2
1.7744,0.0542,-1.1783,2
1.7157,-0.9183,-1.8654,2
0.9673,-0.2989,-1.2638,2
-0.0451,0.4807,-0.7289,2
-0.5968,1.041,-0.095,2
-0.9426,1.5151,1.0183,2
-1.1274,1.6682,1.8066,2
-1.1274,1.6682,1.8066,2
-0.9926,1.4362,1.7957,2
-0.4402,0.9397,1.1061,2
0.685,0.7182,-0.4291,2
0.3354,-0.01,-3.2724,2
-0.1828,-0.0658,-3.4539,2
0.6997,0.387,-1.7538,2
1.4183,0.6298,0.1948,2
1.6799,0.18,0.7171,2
1.4001,0.356,0.0867,2
1.3403,0.5445,-0.1005,2
1.3085,0.3293,-0.5669,2
2.1527,-0.8281,-0.6323,2
2.7665,-0.7768,-0.2777,2
2.1318,-0.4954,-0.7463,2
2.0898,-1.4139,-1.3773,2
2.2686,-1.4028,-1.1666,2
2.3837,-1.1118,-0.1967,2
3.6719,-2.3056,-0.4316,2
3.4896,-1.9391,-0.2948,2
4.1943,-1.9015,-0.468,2
4.0638,-0.7258,-0.6409,2
2.8907,0.6242,-1.5008,2
1.7174,0.3787,-2.2795,2
0.5216,-1.1508,-1.0781,2
0.5216,-1.1508,-1.0781,2
-0.6492,-1.831,0.0672,2
-1.1204,-2.3811,0.6819,2
-1.6339,-3.0338,1.7562,2
-2.601,-3.3502,2.9485,2
-3.0108,-2.9346,2.9837,2
-2.869,-2.255,2.5327,2
-2.462,-1.3326,1.8793,2
-2.241,-1.1221,1.6226,2
-1.9658,-1.0307,1.2732,2
-1.9658,-1.0307,1.2732,2
-2.0418,-0.8592,0.7136,2
-3.0808,-0.3625,0.3248,2
-3.5413,0.5939,1.0817,2
-3.2477,1.3122,1.1671,2
-3.0235,1.1428,0.845,2
-3.2369,0.5043,0.584,2
-3.2696,0.466,0.5257,2
-2.9853,0.8182,-0.135,2
-2.4952,0.4121,-0.2664,2
-2.4952,0.4121,-0.2664,2
-2.0667,-0.0278,-0.3275,2
-1.5086,-0.3847,-0.4383,2
1.9487,-1.3294,-3.4253,2
2.6098,-1.3039,-3.946,2
5.1297,-1.1031,-4.5998,2
8.5553,-0.3272,-2.7411,2
8.4532,0.3947,-1.1584,2
4.152,1.2141,-0.828,2
1.3391,1.768,0.4213,2
0.1852,-1.3099,1.7566,2
-0.2806,-2.9636,2.2032,2
