accx,accy,accz,label
-5.0664,-3.9265,3.1564,1
-5.5955,-3.2825,3.6232,1
-3.9499,-2.0161,1.9118,1
-1.9099,-1.3519,-0.0245,1
0.096,-0.387,-0.0941,1
0.1264,0.8348,1.3347,1
-1.4581,1.4053,1.339,1
-4.3818,0.5936,1.55,1
-4.3818,0.5936,1.55,1
-4.9702,0.9178,1.9869,1
-5.3943,1.6649,1.9395,1
-6.072,2.3596,1.2726,1
-6.0357,2.2241,0.228,1
-5.4273,1.7542,-0.2141,1
-3.1829,0.7542,-1.4115,1
-0.1925,-1.0392,-2.738,1
5.2745,-3.0434,-3.3592,1
11.7096,-2.5004,-0.7728,1
10.6991,-0.5194,-3.2551,1
7.1985,2.5203,-4.6992,1
1.6803,-1.1383,0.5641,1
-1.0396,-5.7138,2.2646,1
-1.509,-6.0755,2.3392,1
-4.1291,-4.9643,-0.0953,1
-6.9627,-3.1765,-2.0427,1
-6.8621,-0.0094,0.476,1
-5.3174,1.2662,2.0331,1
-3.3581,-1.1079,2.3593,1
-2.804,-2.308,2.9822,1
-2.3182,-2.3335,2.8975,1
-1.6856,-1.0288,2.6187,1
-0.4064,-0.2064,1.9871,1
1.0313,-0.1035,0.8351,1
1.0313,-0.1035,0.8351,1
1.4906,0.0658,-0.0118,1
1.2781,0.2899,-0.8007,1
0.5037,0.9216,-0.6132,1
-0.482,0.6339,0.4279,1
-0.6211,0.0976,0.6288,1
-0.0342,-0.5728,0.4625,1
0.9334,-0.1193,-0.2559,1
1.3939,0.7393,-0.4654,1
1.5355,0.919,-0.4249,1
1.437,0.2902,-0.6819,1
1.4989,-0.5359,-1.6228,1
1.7947,-0.7742,-3.084,1
3.2248,-0.5766,-2.1152,1
3.2248,-0.5766,-2.1152,1
3.7276,-0.5293,-0.8524,1
3.9795,-0.3758,0.0623,1
4.3015,-0.2394,-0.1348,1
5.0424,-0.6492,-1.229,1
4.9976,-2.0655,-1.2391,1
4.7559,-2.61,-0.6579,1
4.2798,-1.6758,-0.3368,1
3.8503,-0.8393,-1.0905,1
1.8142,0.2244,-3.1935,1
1.8142,0.2244,-3.1935,1
0.7926,-0.6156,-4.9723,1
0.2898,-2.3931,-2.4755,1
-0.5528,-4.8559,-0.5827,1
-3.7209,-5.4532,1.6214,1
-5.1814,-3.4805,3.2738,1
-5.7217,-2.0937,4.0481,1
-5.3201,-1.3176,4.4556,1
-2.8593,-1.3253,2.1421,1
0.8481,-0.3959,-0.8287,1
1.8495,0.6375,-0.2058,1
0.6176,1.2799,0.1557,1
-3.1785,0.6117,1.0064,1
-4.1949,0.5782,1.9978,1
-4.4509,0.7405,2.094,1
-5.2776,1.9645,2.1581,1
-5.8009,2.3295,1.5913,1
-6.3262,2.3751,1.0404,1
-6.9265,2.1886,0.3968,1
-5.1353,0.3957,-1.3668,1
-3.3232,-1.2058,-2.4774,1
0.3111,-2.7913,-4.2027,1
5.4108,-3.5177,-4.175,1
9.6066,-1.5165,-1.6159,1
10.7735,0.849,-4.0681,1
10.7735,0.849,-4.0681,1
9.1288,1.7629,-3.6199,1
2.8784,-1.6837,0.5303,1
-0.1521,-4.7259,3.2831,1
-2.3595,-3.461,1.6444,1
