accx,accy,accz,label
0.5135,1.9124,-0.7142,3
0.5135,1.9124,-0.7142,3
0.3291,2.5602,-0.8705,3
0.1384,2.6015,-0.9282,3
0.094,2.361,-1.0764,3
0.1599,2.298,-0.9789,3
0.2395,2.148,-0.9259,3
0.3589,1.8103,-0.7624,3
0.3525,1.43,-0.6663,3
0.2788,0.7971,-0.3708,3
0.0501,0.1451,0.0459,3
0.0501,0.1451,0.0459,3
-0.0311,0.3169,0.1204,3
-0.2293,0.2963,-0.0883,3
-0.605,-0.4265,-0.0561,3
-0.7766,-2.1531,0.2229,3
-0.8167,-2.5391,0.1704,3
-0.5713,-2.1404,-0.2165,3
-0.405,-0.9742,-0.5584,3
-0.4018,-0.3435,-0.325,3
-0.3606,-1.004,0.1094,3
-0.1264,-2.2808,0.0987,3
-0.0669,-2.5993,0.1113,3
0.1621,-2.0934,-0.2642,3
0.914,-0.557,-0.5926,3
0.6998,1.7349,-0.9159,3
0.6998,1.7349,-0.9159,3
0.7509,2.6315,-0.732,3
0.4497,3.0945,-0.5975,3
0.2283,2.7597,-0.213,3
-0.0938,2.0013,-0.0344,3
-0.0949,1.6443,0.0925,3
-0.0748,1.2368,0.1318,3
-0.1158,0.8915,0.1623,3
-0.025,0.5961,0.3593,3
-0.0525,0.5502,0.4732,3
-0.0522,0.4762,0.4745,3
-0.0805,0.061,0.47,3
-0.2673,-0.8615,0.6169,3
-0.3259,-1.7738,0.9025,3
-0.3424,-2.3843,1.0821,3
-0.2997,-2.0372,0.9155,3
-0.4669,-1.9352,0.9256,3
-0.3725,-1.9854,0.8346,3
-0.2781,-2.6111,0.8346,3
-0.153,-3.1406,0.8309,3
-0.153,-3.1406,0.8309,3
0.2203,-0.5773,0.2668,3
0.1087,1.0346,-0.2807,3
0.0745,1.9866,-0.5885,3
-0.0454,2.822,-0.8001,3
-0.0454,2.822,-0.8001,3
-0.0801,3.1958,-0.7905,3
-0.2344,3.1288,-0.8327,3
-0.2742,2.6664,-0.8836,3
-0.1899,2.0847,-0.4643,3
-0.1686,1.703,-0.4173,3
-0.0816,1.277,-0.4288,3
0.0642,0.7468,-0.3036,3
0.0097,0.7122,-0.2513,3
0.0966,0.5578,-0.2396,3
0.0966,0.5578,-0.2396,3
0.0287,0.371,-0.3653,3
-0.1398,0.2091,-0.4075,3
-0.4454,-0.4384,-0.5301,3
-0.7501,-1.8018,-0.2586,3
-0.6997,-2.2666,-0.1735,3
-0.6317,-2.2371,-0.2833,3
-0.5301,-1.6166,-0.3592,3
-0.4847,-1.2332,-0.4171,3
-0.5094,-2.2856,0.0928,3
-0.5108,-2.5002,0.0672,3
-0.1976,-3.4982,0.5459,3
0.4196,-2.3704,0.4533,3
0.5241,-1.1862,-0.1014,3
0.6195,-0.7262,-0.2584,3
0.4634,0.8304,-0.6073,3
0.4617,1.9606,-0.7262,3
0.3645,2.9247,-0.7684,3
0.12,3.3067,-0.8679,3
-0.0349,2.9283,-0.8401,3
-0.0953,2.5685,-0.7655,3
-0.1265,2.1201,-0.5896,3
-0.0911,1.6272,-0.4142,3
-0.0234,1.0505,-0.1362,3
0.063,0.8405,0.0758,3
0.063,0.8405,0.0758,3
0.1408,0.8953,0.1122,3
0.1698,0.8145,0.2234,3
0.1176,0.6402,0.4108,3
-0.2227,0.3203,0.5294,3
-0.3124,0.0114,0.4775,3
-0.4225,-1.1074,0.359,3
-0.3867,-2.1077,0.3277,3
-0.2277,-3.076,0.5026,3
0.0217,-2.8839,0.3989,3
-0.0076,-2.7764,0.3525,3
0.094,-2.6265,0.3319,3
0.1136,-2.5096,0.4699,3
0.0895,-2.2965,0.4159,3
0.2739,-2.3329,0.4291,3
0.349,-1.5104,0.2557,3
0.3128,0.0194,-0.1884,3
0.1391,1.6292,-0.5542,3
-0.0622,2.3324,-0.7435,3
-0.2839,2.8606,-1.0144,3
-0.3856,2.8993,-1.075,3
-0.4133,2.6456,-1.0503,3
-0.4388,1.8731,-0.9383,3
-0.2131,1.6487,-0.9498,3
-0.0944,1.6076,-0.7038,3
-0.0944,1.6076,-0.7038,3
-0.072,1.5773,-0.4804,3
-0.14,1.2841,-0.1271,3
-0.2713,0.8271,0.1181,3
-0.4788,0.3512,0.2287,3
-0.4834,0.1992,0.2007,3
-0.8637,-0.3326,-0.098,3
-1.3158,-2.6357,0.2924,3
-1.2037,-3.9789,0.23,3
-1.0722,-4.0031,-0.3255,3
-1.0722,-4.0031,-0.3255,3
-0.3691,-2.0114,-0.8185,3
-0.4426,-0.7893,-1.1226,3
-0.3836,-0.5818,-0.647,3
-0.441,-1.6214,-0.107,3
-0.3105,-2.9964,0.3601,3
0.0471,-2.5656,0.2769,3
0.2149,-1.3822,0.0012,3
0.2229,0.1211,-0.1248,3
0.2272,0.6504,-0.02,3
0.2069,1.1016,0.0614,3
0.1269,1.5448,-0.0591,3
0.0371,1.5012,-0.2066,3
0.0473,1.362,-0.4437,3
0.0601,1.3115,-0.4407,3
0.0445,1.2221,-0.4011,3
0.0651,0.7166,-0.1534,3
0.1593,0.4209,-0.0163,3
0.1967,0.0441,0.1158,3
0.2374,-0.0874,0.1631,3
0.3206,-0.2686,0.2757,3
0.2456,-0.5284,0.2705,3
0.1707,-0.8781,0.3971,3
-0.0548,-0.9868,0.4841,3
-0.0548,-0.9868,0.4841,3
-0.2637,-0.7591,0.5346,3
-0.4574,-0.6705,0.56,3
-0.7,-0.6432,0.4973,3
-0.822,-0.5393,0.4925,3
-0.9281,-0.7123,0.4293,3
-0.8439,-1.1074,0.4501,3
-0.5623,-0.5909,0.3745,3
-0.3335,0.4739,0.0787,3
-0.4438,1.7111,-0.064,3
-0.4438,1.7111,-0.064,3
-0.5924,1.9281,-0.0045,3
-0.6531,1.7546,-0.123,3
-0.6684,0.1278,0.1617,3
-0.6684,0.1278,0.1617,3
-0.5823,-0.4294,0.1864,3
-0.4253,-0.9651,0.2323,3
-0.25,-0.7891,0.3492,3
-0.1002,-0.4141,0.1927,3
-0.0796,0.1269,0.0202,3
-0.1211,0.5183,-0.0664,3
-0.2162,1.0503,-0.3181,3
-0.3018,1.1798,-0.5614,3
-0.4159,1.0312,-0.7516,3
-0.4746,0.7543,-0.8392,3
-0.5063,0.7713,-0.8304,3
-0.5063,0.7713,-0.8304,3
-0.5818,0.432,-0.8874,3
-0.6223,-0.1268,-0.6237,3
-0.6597,-0.9635,-0.4068,3
-0.6936,-1.5828,-0.2116,3
-0.8105,-1.7165,-0.0448,3
-0.8233,-1.2921,0.046,3
-0.9125,-0.9204,-0.0135,3
-1.0183,-1.2833,0.1569,3
-0.989,-1.3191,0.1818,3
-0.89,-2.3228,-0.0446,3
-0.4041,-2.1124,-0.1513,3
0.2713,-1.067,-0.3927,3
0.577,1.048,-0.8272,3
0.577,1.048,-0.8272,3
0.6049,1.7952,-0.7618,3
0.6705,2.4791,-0.6662,3
0.38,1.5087,-0.6015,3
0.2684,0.6246,-0.3311,3
0.3669,0.2181,-0.3118,3
0.5186,-0.1167,-0.0971,3
0.7793,-0.1848,0.103,3
1.1201,0.9354,0.3888,3
1.1201,0.9354,0.3888,3
1.1072,1.1595,0.519,3
1.0632,1.3385,0.5537,3
0.9982,1.3764,0.5401,3
1.0679,1.1385,0.4397,3
1.0151,1.0504,0.3053,3
1.0302,1.0821,0.2201,3
0.9683,0.9706,-0.0057,3
0.9683,0.9706,-0.0057,3
0.8998,0.8453,0.0094,3
0.783,0.6336,0.0907,3
0.6404,0.4192,0.1287,3
0.324,-0.1774,0.2848,3
0.0364,-1.5402,0.4998,3
-0.1082,-2.2673,0.7747,3
-0.1175,-2.4595,0.7286,3
-0.058,-2.6413,0.6252,3
0.3077,-2.3267,0.6268,3
0.6437,-1.0729,0.3238,3
0.6622,-0.6679,0.3168,3
0.5788,0.5963,-0.1597,3
0.5845,0.8559,-0.1529,3
0.5124,1.1314,-0.333,3
0.3914,0.7951,-0.319,3
0.2203,-0.4858,-0.1294,3
0.1989,-0.7104,-0.0914,3
0.4712,-0.5013,0.3181,3
0.3022,-0.0528,0.1581,3
0.526,1.1387,-0.0652,3
0.6204,1.3288,-0.1275,3
0.5837,1.3523,-0.1599,3
0.5954,1.4111,-0.3007,3
0.5274,1.2541,-0.3503,3
