accx,accy,accz,label
0.1168,0.0394,0.1272,4
0.082,0.0056,0.11,4
0.0834,0.0223,0.0925,4
0.0838,0.0127,0.0516,4
0.0699,0.011,0.1837,4
0.0699,0.011,0.1837,4
0.1398,0.025,0.2019,4
0.0945,0.0393,0.2513,4
0.1607,0.0095,0.1248,4
0.1046,0.0033,0.01,4
0.0875,0.0126,0.0511,4
0.1025,0.0082,0.0881,4
0.0812,0.0276,0.3165,4
0.1168,0.057,0.1401,4
0.1007,0.0245,-0.0306,4
0.0691,-0.0131,0.1201,4
0.0672,-0.03,0.0552,4
0.0862,-0.0006,0.124,4
0.0862,-0.0006,0.124,4
0.0711,0.0391,0.0924,4
0.0712,0.0302,0.1401,4
0.0982,0.0321,0.2065,4
0.1034,0.0078,0.1207,4
0.0681,-0.0196,0.0971,4
0.0542,-0.0121,0.0659,4
0.0878,0.0154,0.0747,4
0.0801,0.0501,0.1251,4
0.1155,0.0019,0.1838,4
0.077,0.0273,0.245,4
0.0656,0.0128,0.2212,4
0.0787,0.0565,0.1191,4
0.0959,0.0079,0.0409,4
0.0995,0.012,0.0412,4
0.0903,-0.0037,0.1408,4
0.12,0.0095,0.1243,4
0.1011,0.0125,0.076,4
0.0494,0.0033,0.1755,4
0.0926,0.0244,0.1394,4
0.0889,0.0094,0.0708,4
0.0889,0.0094,0.0708,4
0.0778,-0.0185,0.0154,4
0.0862,0.0026,0.0436,4
0.0958,0.0657,0.1219,4
0.1031,0.0491,0.1359,4
0.0967,0.0576,0.1097,4
0.1037,0.0482,0.1595,4
0.0644,0.0105,0.1094,4
0.0246,-0.0169,0.095,4
0.1059,-0.0332,0.123,4
0.0871,-0.0055,0.1245,4
0.1205,0.0453,0.1292,4
0.124,0.0365,0.1411,4
0.0735,0.0216,0.1715,4
0.0928,0.0511,0.1283,4
0.0928,0.0511,0.1283,4
0.0759,0.0347,0.1281,4
0.1121,0.0327,0.0991,4
0.1198,-0.0062,0.1893,4
0.0724,-0.0174,0.096,4
0.0692,0.036,0.0026,4
0.1088,0.0003,0.1478,4
0.0329,0.0039,0.0133,4
0.0957,0.0192,0.2555,4
0.125,0.0084,0.1401,4
0.125,0.0084,0.1401,4
0.0896,0.0128,0.0043,4
0.0521,-0.0068,0.1186,4
0.0811,0.0154,0.1825,4
0.0277,0.0458,0.0837,4
0.1155,0.0063,0.1155,4
0.1238,0.0108,0.1257,4
0.09,0.0138,0.1113,4
0.1215,0.0339,0.1283,4
0.0864,0.0315,0.1761,4
0.1278,0.029,0.1022,4
