accx,accy,accz,label
-0.845,-2.9084,0.5489,2
-0.6287,-3.1392,0.6178,2
-0.1186,-2.659,0.7408,2
0.221,-1.1522,0.3702,2
0.3685,1.5307,-0.5522,2
0.388,2.5841,-0.8854,2
0.2954,2.9106,-0.9603,2
0.0983,2.5602,-0.9828,2
0.0983,2.5602,-0.9828,2
0.0811,2.3343,-0.9222,2
0.1128,1.7215,-0.6832,2
0.1504,1.4525,-0.4839,2
0.2315,1.5657,-0.6246,2
0.2212,1.5422,-0.6185,2
0.2499,1.7207,-0.621,2
0.2484,1.9663,-0.7247,2
0.2376,1.7682,-0.7532,2
0.1404,1.1284,-0.4637,2
0.1404,1.1284,-0.4637,2
0.0709,0.7467,-0.1171,2
-0.0356,0.1195,0.3629,2
-0.0966,-0.3663,0.6912,2
-0.1735,-0.9648,1.0841,2
-0.2023,-1.1783,1.2555,2
-0.2173,-1.3564,1.3996,2
-0.3077,-1.2806,1.1612,2
-0.4422,-1.8919,1.102,2
-0.5915,-2.7209,1.5703,2
-0.5915,-2.7209,1.5703,2
-0.6914,-3.3269,1.6643,2
-0.4411,-2.7585,1.3182,2
0.1452,1.1912,-0.2888,2
0.1452,1.1912,-0.2888,2
0.0999,1.6542,-0.625,2
0.0035,1.3316,-0.779,2
-0.0194,0.8705,-0.6257,2
-0.0348,0.9823,-0.7053,2
-0.0397,0.9597,-0.6483,2
-0.0435,0.9577,-0.4875,2
-0.02,0.8206,-0.2406,2
0.0951,1.1629,-0.1893,2
0.0951,1.1629,-0.1893,2
0.3797,2.1388,-0.6415,2
0.3797,2.1388,-0.6415,2
0.3972,2.0345,-0.7407,2
0.361,1.9467,-0.7549,2
0.2264,1.5382,-0.7801,2
0.0039,0.7338,-0.5339,2
-0.1336,0.2173,-0.4203,2
-0.4267,-0.6546,-0.1074,2
-0.5916,-1.6518,0.1897,2
-0.6801,-2.2449,0.4334,2
-0.8077,-2.2153,0.4622,2
-0.8077,-2.2153,0.4622,2
-0.8733,-2.3754,0.4796,2
-0.9054,-2.5566,0.3786,2
-1.0245,-2.7553,0.246,2
-1.049,-3.2303,0.4871,2
-0.9612,-3.4884,0.6176,2
-0.3579,-2.7477,0.7556,2
0.1163,-0.473,0.1038,2
0.2194,2.0505,-0.7008,2
0.0195,2.7665,-0.9344,2
-0.0868,3.0273,-1.0344,2
-0.3084,2.8861,-1.2816,2
-0.3095,2.4958,-1.2374,2
-0.2798,2.1495,-0.9539,2
-0.3604,1.5231,-0.6184,2
-0.3303,1.4701,-0.6295,2
-0.313,1.3616,-0.5854,2
-0.2573,1.2619,-0.5447,2
-0.1682,1.2639,-0.1164,2
-0.113,1.3735,-0.213,2
-0.0979,1.3559,-0.2975,2
-0.078,1.248,-0.3669,2
-0.0896,0.8909,-0.0993,2
-0.1205,0.3425,0.2745,2
-0.0959,-0.2702,0.6282,2
-0.0959,-0.2702,0.6282,2
-0.1395,-0.6671,0.8136,2
-0.1636,-0.8242,0.8152,2
-0.1333,-0.9403,0.9942,2
-0.1475,-1.3329,1.1218,2
-0.1462,-1.4485,1.1038,2
-0.1759,-1.5253,1.0591,2
-0.3403,-2.2294,1.2769,2
-0.4569,-2.9431,1.4667,2
-0.2845,-2.7215,1.2442,2
-0.0772,-1.3458,0.7957,2
0.1373,0.8252,-0.0978,2
0.1516,1.1102,-0.1722,2
0.1597,1.4048,-0.7586,2
0.0985,0.9862,-0.5339,2
0.1077,0.9306,-0.5468,2
0.0736,0.9896,-0.6246,2
0.1096,1.263,-0.5751,2
0.1221,1.4375,-0.3988,2
0.1352,1.9774,-0.4938,2
0.2061,2.1148,-0.4661,2
0.2525,1.9209,-0.5005,2
0.3426,1.8783,-0.5354,2
0.4079,1.9705,-0.6317,2
0.3924,1.6923,-0.5903,2
0.3924,1.6923,-0.5903,2
0.4417,1.6098,-0.6325,2
0.3351,1.4229,-0.6246,2
0.2407,0.9772,-0.5995,2
0.1118,0.5996,-0.4515,2
0.006,0.4379,-0.4099,2
-0.0823,0.1805,-0.3308,2
-0.1578,-0.1081,-0.2806,2
-0.2812,-0.2836,-0.0923,2
-0.3233,-0.3709,-0.0661,2
-0.5028,-0.6359,-0.0921,2
-0.6203,-0.9325,0.0219,2
-0.8654,-1.5252,0.3053,2
-1.1328,-1.6934,0.169,2
-1.1328,-1.6934,0.169,2
-1.254,-1.8453,0.1103,2
-1.3799,-2.2649,0.1897,2
-1.3188,-2.3131,0.4234,2
-0.5141,0.2815,-0.2911,2
-0.2959,1.3339,-0.6207,2
-0.2556,2.3622,-1.0381,2
-0.3607,2.5418,-1.1021,2
-0.6162,1.7795,-0.911,2
-0.8083,0.6596,-0.4412,2
-0.7908,0.6253,-0.392,2
-0.7767,0.4778,-0.3121,2
-0.6851,0.125,-0.2527,2
-0.5148,-0.0432,-0.0092,2
-0.1602,0.0326,0.2194,2
0.0231,0.3545,0.11,2
0.2266,0.7705,0.021,2
0.3248,1.256,-0.0182,2
0.3172,1.3135,0.1116,2
0.327,0.8041,0.1635,2
0.3388,0.5194,0.1631,2
0.3434,0.4704,0.1594,2
0.3655,0.5652,0.2257,2
0.327,0.4821,0.42,2
0.3048,0.1594,0.506,2
0.2838,0.0584,0.4901,2
0.2378,-0.1793,0.5572,2
0.1314,-0.8587,0.8268,2
-0.0166,-1.2823,1.1594,2
-0.096,-1.4099,1.1917,2
-0.0565,-1.3142,0.9944,2
-0.0643,-1.4754,0.9304,2
0.1764,-1.151,0.809,2
0.4099,0.1329,0.3301,2
0.3924,1.0832,-0.1953,2
0.3924,1.0832,-0.1953,2
0.4167,1.2516,-0.2651,2
0.3757,1.3576,-0.4672,2
0.2082,0.6634,-0.3993,2
0.1106,-0.681,0.0661,2
0.2114,-0.6544,0.2786,2
0.2437,-0.3515,0.2569,2
0.4148,0.0163,0.0245,2
0.481,0.1778,-0.21,2
0.5715,0.4642,-0.4418,2
0.6296,0.8081,-0.7268,2
0.5824,0.8192,-0.8785,2
0.4906,0.6342,-1.0195,2
0.4277,0.4232,-0.942,2
0.4277,0.4232,-0.942,2
0.3394,0.1729,-1.048,2
0.2818,-0.1251,-1.1064,2
0.2126,-0.6033,-0.9012,2
0.1633,-1.1104,-0.4719,2
0.1263,-1.1745,-0.413,2
0.085,-1.1065,-0.4553,2
-0.1242,-1.4203,-0.3144,2
-0.3082,-2.1002,0.0679,2
-0.2658,-2.5701,0.2892,2
0.4615,-0.6539,-0.2248,2
0.4615,-0.6539,-0.2248,2
0.6497,0.7756,-0.7902,2
0.5534,1.633,-0.9935,2
0.3829,1.5939,-0.8252,2
0.0051,1.1324,-0.7368,2
-0.1181,0.8502,-0.6263,2
-0.1663,0.0803,-0.4632,2
-0.1187,-0.4407,-0.2814,2
-0.0276,-0.3562,-0.3224,2
0.1636,0.048,-0.2144,2
0.203,0.1051,-0.2498,2
0.2394,0.3404,-0.2205,2
0.2645,0.3936,0.1406,2
0.2645,0.3936,0.1406,2
0.1959,0.1824,0.2834,2
0.1988,0.3315,0.2408,2
0.1562,0.3506,0.2989,2
0.1529,0.3565,0.3136,2
0.1125,0.2536,0.685,2
-0.0137,-0.1966,0.8191,2
-0.0728,-0.4527,0.9729,2
-0.2343,-0.867,1.1233,2
-0.3258,-1.0505,1.2092,2
-0.5853,-2.0644,1.3889,2
-0.7387,-2.6614,1.5759,2
-0.7832,-2.8424,1.6092,2
-0.7396,-3.1993,1.6847,2
-0.393,-2.0542,1.2946,2
-0.075,-0.0689,0.4381,2
-0.1323,1.2263,-0.3329,2
-0.1553,1.2675,-0.4421,2
-0.2416,1.1311,-0.4218,2
-0.3346,0.9142,-0.4843,2
-0.3906,0.7181,-0.6062,2
-0.4408,0.6272,-0.5379,2
-0.4687,0.672,-0.5284,2
-0.3798,0.7402,-0.5298,2
-0.2772,0.8556,-0.5365,2
-0.1845,1.0228,-0.491,2
0.0259,1.1794,-0.569,2
0.1226,1.2098,-0.6552,2
0.1658,1.1373,-0.6061,2
0.1009,0.8216,-0.5272,2
0.1266,0.6069,-0.5226,2
0.0931,0.5774,-0.4476,2
-0.0577,0.452,-0.3965,2
-0.1635,-0.142,-0.2279,2
-0.3015,-0.8405,-0.0333,2
-0.3804,-1.2852,0.1175,2
-0.3804,-1.2852,0.1175,2
-0.427,-1.4713,0.1197,2
-0.3991,-1.6058,0.1246,2
-0.5206,-2.1723,0.2412,2
-0.6789,-2.7535,0.3571,2
-0.6566,-2.8816,0.3353,2
-0.4829,-2.8729,0.1252,2
-0.2378,-2.7012,-0.0209,2
0.2524,-1.114,-0.0667,2
0.4376,0.7243,-0.5116,2
0.4342,1.0259,-0.5696,2
0.4086,1.6852,-0.7063,2
0.3918,2.1182,-0.7749,2
0.3237,2.0922,-0.851,2
