accx,accy,accz,label
-0.0304,0.1198,0.1914,5
-0.0304,0.1198,0.1914,5
-0.2072,0.1032,0.3617,5
-0.1852,0.1606,0.3122,5
-0.0625,0.087,0.173,5
0.3041,0.0008,0.4815,5
0.2612,-0.0292,0.0434,5
0.2214,-0.0362,-0.1477,5
0.0244,-0.0284,0.0287,5
0.055,-0.0112,0.0179,5
0.0574,-0.0405,-0.0614,5
0.113,-0.0422,-0.2202,5
0.113,-0.0422,-0.2202,5
0.1238,-0.0817,-0.0859,5
0.0685,-0.0275,0.2271,5
0.2953,-0.0595,0.1583,5
0.0932,-0.0064,0.5406,5
0.1643,0.0071,0.5273,5
-0.0051,0.0296,0.1868,5
0.0145,0.1519,-0.1074,5
0.4204,0.076,0.194,5
0.0964,-0.056,0.3406,5
0.0964,-0.056,0.3406,5
-0.1599,0.0429,0.1599,5
-0.08,0.0722,0.1788,5
-0.0795,-0.0062,-0.148,5
-0.0795,-0.0062,-0.148,5
0.1579,-0.0704,-0.0947,5
0.1328,-0.0508,-0.0589,5
0.1043,-0.0458,-0.1378,5
0.226,-0.0621,0.0292,5
0.2344,-0.3357,0.2403,5
0.0823,-0.1282,0.0942,5
0.0014,-0.0698,0.3087,5
0.2542,0.2006,0.35,5
0.1788,0.1529,0.3006,5
0.1797,0.1683,0.1635,5
0.1678,0.2101,0.1612,5
-0.0143,0.0214,0.0089,5
0.0574,-0.0509,0.016,5
0.245,0.2005,0.0637,5
0.214,0.1266,0.2855,5
0.135,0.054,0.1008,5
0.0658,-0.029,-0.1175,5
0.0298,0.0638,-0.2095,5
0.2,0.1718,-0.0546,5
0.0319,-0.2834,0.3215,5
0.0319,-0.2834,0.3215,5
-0.1342,-0.2835,0.5116,5
-0.2867,-0.2355,0.2163,5
-0.2409,-0.1493,0.0716,5
-0.1267,-0.1542,0.1624,5
0.108,-0.1078,0.2809,5
0.1446,-0.1327,0.3962,5
0.157,-0.1355,0.4967,5
0.1178,0.0694,0.1746,5
0.3599,0.2745,-0.0285,5
0.7661,0.6892,0.1294,5
0.84,0.5986,0.2171,5
0.5712,0.2434,0.2591,5
0.3856,0.1873,0.4114,5
0.3856,0.1873,0.4114,5
0.3595,0.0598,0.3551,5
0.4155,0.0217,0.5059,5
0.4944,-0.0075,0.3645,5
0.2627,-0.0418,-0.0388,5
0.0433,-0.149,-0.4074,5
0.2288,-0.1375,0.0216,5
0.4804,-0.1558,0.2723,5
0.1195,-0.0051,-0.2702,5
-0.154,-0.1825,-0.1309,5
-0.154,-0.1825,-0.1309,5
0.004,-0.4999,0.32,5
-0.3182,-0.48,0.325,5
-0.1604,-0.0262,-0.2405,5
-0.1604,-0.0262,-0.2405,5
-0.1625,0.0901,-0.3356,5
-0.1116,0.0632,-0.1421,5
