accx,accy,accz,label
-0.2615,0.3396,-0.5909,1
-0.1035,0.1714,-0.8833,1
0.301,-0.1418,-0.8523,1
1.0504,-0.895,-0.5706,1
1.4528,-2.18,-0.4332,1
1.3684,-2.3801,-0.383,1
1.2358,-2.9315,-0.128,1
0.7039,-3.2266,0.1708,1
0.0331,-1.9836,1.2049,1
0.0825,-0.5216,1.5519,1
0.1375,-0.4488,1.4212,1
-0.1226,-0.3718,0.9009,1
-0.6877,-0.2841,0.2947,1
-1.1,-0.2462,-0.2241,1
-0.4186,-0.4445,-0.5937,1
-0.0595,-0.6204,-0.4576,1
-0.0204,-0.6199,0.0862,1
-0.1168,-0.6045,0.5385,1
-0.4832,0.0358,0.7675,1
-0.5668,0.9042,0.011,1
-0.5668,0.9042,0.011,1
-0.4703,1.2056,-0.3707,1
-0.0522,1.3979,-0.708,1
0.3295,0.9794,-0.5829,1
0.3969,0.3984,-0.2904,1
0.2875,0.3787,-0.1628,1
0.5123,-0.0227,-0.2544,1
1.3306,-0.3453,-0.4056,1
1.7979,-0.3596,-0.3149,1
2.4132,-0.4968,-0.3079,1
2.6412,-1.1103,-0.4992,1
1.9447,-2.1281,-0.6983,1
1.3502,-2.7445,-0.4473,1
0.7423,-2.9783,0.0324,1
0.268,-1.2608,1.1426,1
0.3506,-0.7791,1.3398,1
0.6945,0.2772,1.5901,1
1.1751,0.7955,1.0932,1
0.73,0.6312,0.2921,1
0.2061,-0.3525,-1.054,1
-0.1194,-0.4159,-1.1944,1
-0.5223,-0.3699,-1.0885,1
-0.8399,-0.4688,-1.0158,1
-0.9919,-0.8116,-1.0311,1
-0.987,-0.6238,-0.8026,1
-0.987,-0.6238,-0.8026,1
-1.0657,-0.0751,-0.749,1
-1.1628,0.3507,-0.5201,1
-0.9058,0.3445,-0.3806,1
-0.6729,0.4105,-0.4554,1
-0.4728,0.4374,-0.5086,1
-0.1358,0.5301,-0.31,1
0.2366,0.4956,-0.2898,1
0.4429,0.3547,-0.5113,1
0.6471,-0.1881,-0.8183,1
0.8183,-0.6933,-0.7931,1
0.9883,-1.1479,-0.6415,1
1.3767,-2.7286,-0.6128,1
1.3605,-2.8405,-0.3019,1
0.8989,-3.3891,0.2166,1
0.8989,-3.3891,0.2166,1
0.0599,-2.8414,0.6929,1
-0.3394,-0.9861,1.5186,1
-0.1541,0.039,1.3925,1
-0.9646,0.1204,0.707,1
-1.3731,0.216,0.4234,1
-1.5252,0.134,-0.1663,1
-0.7867,-0.394,-0.568,1
-0.1472,-0.3911,-0.4741,1
0.3456,-0.2678,0.3198,1
0.3456,-0.2678,0.3198,1
0.2417,-0.2375,0.7435,1
-0.1451,0.2449,1.222,1
-0.2415,0.7176,0.9533,1
0.1394,1.0445,0.1989,1
0.3836,0.9924,-0.2934,1
0.489,0.9474,-0.2716,1
0.6879,0.6558,0.041,1
1.1038,0.1742,0.0124,1
1.6353,-0.1123,-0.6824,1
1.9184,0.0743,-0.8448,1
