accx,accy,accz,label
0.3601,-0.0448,-0.2952,6
0.1118,0.1642,0.1118,6
0.0492,0.1939,0.3614,6
0.6016,0.1188,0.3785,6
0.6016,0.1188,0.3785,6
0.6081,0.081,0.224,6
0.0342,0.1497,0.048,6
-0.2146,0.0975,-0.1568,6
0.1988,-0.0839,-0.5978,6
0.1025,-0.0896,-0.6166,6
-0.305,-0.0423,-0.4889,6
-1.1763,0.1149,-0.0605,6
-0.7175,0.3494,0.1786,6
0.3102,0.4333,0.0047,6
0.249,0.2651,-0.184,6
0.0184,0.8005,0.2384,6
-0.3224,0.4908,0.0354,6
-0.1635,0.5179,-0.0275,6
0.2362,0.0863,-0.7409,6
0.1351,0.0222,-0.5515,6
-0.0273,0.0292,-0.4547,6
0.108,-0.0731,-0.7047,6
0.2757,-0.3554,-0.9441,6
0.5994,-0.3897,-0.8337,6
0.5994,-0.3897,-0.8337,6
0.812,-0.3508,-0.6007,6
1.1801,-0.1564,-0.5675,6
1.1434,-0.0674,-0.8779,6
-0.4046,-0.0586,0.0304,6
-0.6693,-0.0792,0.2949,6
-0.5963,-0.1092,0.3715,6
-0.4097,-0.0996,0.5522,6
0.0335,-0.1166,0.3615,6
0.0126,0.0576,-0.1614,6
-0.2171,0.4927,-0.9896,6
-0.6567,0.6942,-2.0195,6
-1.1266,0.8991,-3.3808,6
-0.8284,1.005,-1.6563,6
0.0839,0.9751,0.7741,6
0.2758,0.7439,1.2859,6
0.4204,0.5695,1.4227,6
1.0895,0.2083,1.3679,6
1.4309,-0.1184,0.9437,6
1.8356,-0.0886,0.4195,6
1.9747,-0.2158,0.3039,6
1.7299,-0.3994,0.2442,6
1.1098,-0.4385,0.1833,6
0.5212,-0.309,0.0686,6
0.1817,-0.18,0.1808,6
2.1209,-0.2201,0.4672,6
2.1209,-0.2201,0.4672,6
3.2985,-0.1131,0.749,6
3.992,-0.3336,0.5502,6
2.4589,-1.4817,-0.086,6
1.3917,-1.7135,-0.7885,6
1.3917,-1.7135,-0.7885,6
-0.1813,-1.6605,-0.8503,6
-0.7667,-1.2122,-0.2213,6
-2.3829,-1.2718,0.4123,6
-2.2898,-1.1361,0.2914,6
-2.0931,-1.2544,-0.0244,6
-1.6637,-1.2191,-0.121,6
-0.3828,-1.0659,-0.3547,6
-0.3056,-1.6154,-0.3823,6
-0.03,-1.6485,-1.1267,6
0.2703,-1.4828,-1.15,6
0.6648,-1.0658,-1.0163,6
0.6312,-1.104,-0.6789,6
0.2763,-1.0612,0.5012,6
0.243,-0.9086,0.2026,6
0.5124,-0.6989,-0.1058,6
1.0706,-0.6133,-0.237,6
1.2131,-0.5836,-0.0501,6
1.4217,-0.4068,-0.0326,6
1.6691,-0.3325,0.0458,6
2.0021,-0.1843,0.2245,6
2.0138,0.0036,0.3895,6
2.148,0.1763,0.197,6
1.3428,0.1546,-0.2288,6
0.5372,0.1107,-0.3703,6
-0.104,-0.1289,-0.1922,6
