accx,accy,accz,label
1.1161,-1.2434,-1.8626,3
1.2788,-1.1522,-2.4324,3
1.6507,-1.5308,-2.1639,3
1.3629,-0.8725,-1.6614,3
0.1867,0.5407,-0.2516,3
0.1867,0.5407,-0.2516,3
0.0317,0.6089,-0.2406,3
0.6265,0.8811,-0.5858,3
-0.3726,1.4936,-0.2283,3
-0.7089,1.4865,-0.1521,3
-1.3057,1.5634,-0.0495,3
-1.2099,2.1715,0.7812,3
-0.6087,2.5176,1.3699,3
-0.0881,2.4017,1.0792,3
0.0092,2.4691,2.0355,3
0.726,2.0984,-0.6579,3
1.2448,3.2767,-1.613,3
0.5806,1.8465,-2.1984,3
-0.3534,1.3654,-0.4112,3
-2.514,-1.355,-0.6195,3
-2.514,-1.355,-0.6195,3
-3.0084,0.205,0.4846,3
-0.1092,2.5486,-0.1152,3
0.9394,1.6071,-1.9277,3
-1.4973,-1.8348,-0.9022,3
-2.2871,-4.3057,0.3807,3
-1.5874,-4.6717,0.0326,3
-1.159,-4.4397,1.9909,3
-0.3016,-7.3589,4.8077,3
1.1506,-9.9251,1.285,3
1.2195,-7.3933,-0.7844,3
2.9437,-0.8189,-0.4544,3
0.5849,0.3546,-1.0073,3
0.5849,0.3546,-1.0073,3
0.5855,-3.2911,-1.4547,3
2.222,-2.875,-1.0161,3
3.2387,-0.0838,-1.2172,3
3.3953,2.7398,-1.495,3
3.5069,4.8567,-2.3473,3
3.5518,3.6502,-3.0689,3
3.6176,3.4119,-3.1935,3
3.7793,3.4901,-2.1646,3
4.1961,2.8557,-1.4793,3
3.4916,2.0257,-1.8232,3
2.05,0.5911,-2.1317,3
2.05,0.5911,-2.1317,3
1.5795,0.7073,-1.7462,3
0.8306,0.9182,-1.0317,3
0.8969,1.4066,-0.1347,3
0.9738,1.3688,0.5891,3
0.7128,0.8216,0.2618,3
-0.1167,0.5508,-0.117,3
0.2463,2.3527,0.0906,3
0.0474,2.1547,0.8274,3
-1.7066,0.267,2.3869,3
-1.7066,0.267,2.3869,3
-2.2726,-0.5045,3.0451,3
-1.8512,-1.0454,2.9412,3
0.1217,-1.137,1.1435,3
0.8789,-0.2659,0.8495,3
0.1394,-0.7531,-0.7616,3
-0.1897,-2.3466,-2.1412,3
-0.7915,-4.0518,3.1751,3
-3.5589,-1.5812,0.8634,3
