accx,accy,accz,label
0.4545,-0.0031,-0.2535,6
0.4481,0.055,-0.3009,6
0.4328,0.0701,-0.2722,6
0.4493,-0.0122,-0.2926,6
0.3525,-0.223,-0.209,6
0.3805,-0.2965,-0.187,6
0.52,0.0366,-0.4185,6
0.6794,0.3942,-0.3781,6
0.4309,-0.0466,-0.1598,6
0.4309,-0.0466,-0.1598,6
0.3418,-0.0539,-0.2527,6
0.4091,0.1493,-0.3606,6
0.5385,-0.008,-0.3053,6
0.5083,0.103,-0.3186,6
0.3645,0.1521,-0.4229,6
0.5062,-0.0129,-0.1157,6
0.4308,-0.0193,-0.2316,6
0.2421,-0.1161,-0.6231,6
-0.0298,-0.224,-0.5103,6
-0.1015,-0.4958,-0.3972,6
0.0411,-0.1553,0.3702,6
0.3667,-0.1702,1.3926,6
0.3667,-0.1702,1.3926,6
0.789,-0.2467,1.3726,6
0.8865,-0.0808,-0.7952,6
0.6456,0.2389,-1.1289,6
-0.6363,0.1136,0.2179,6
-0.8628,-0.7086,0.2831,6
0.4001,-1.2229,0.3418,6
1.4457,-1.1498,0.2583,6
2.5721,-0.1478,0.038,6
2.1719,0.4412,0.2623,6
3.1002,0.5201,0.6286,6
3.1002,0.5201,0.6286,6
2.7546,0.3932,-0.6692,6
2.4814,0.3052,-1.2704,6
1.5441,0.5468,-0.6736,6
-0.1562,0.4701,0.0475,6
-0.4393,0.1282,-0.1378,6
0.1972,0.5816,-1.8605,6
0.7006,0.9454,-1.9857,6
0.8974,0.5881,-1.5931,6
1.0895,-0.5272,-1.5173,6
1.0895,-0.5272,-1.5173,6
1.7756,0.2721,-1.2516,6
0.9081,1.6059,-0.5801,6
-3.7113,-0.2046,-0.8044,6
-3.7113,-0.2046,-0.8044,6
-4.1463,-1.1656,-1.8477,6
-3.2273,-0.3501,-3.1006,6
-2.5513,0.3579,-1.9692,6
-1.6323,-0.1575,-0.0716,6
0.9892,-1.7243,0.3416,6
1.4019,-0.8546,0.5139,6
0.0204,1.273,0.2004,6
-0.5525,-0.1273,1.8158,6
0.6617,-2.4518,1.2698,6
1.5262,-1.2426,-0.3124,6
1.5262,-1.2426,-0.3124,6
1.0354,-0.371,-0.1908,6
0.4647,0.24,0.2046,6
0.297,0.055,0.6451,6
0.6391,0.3183,0.2605,6
2.0141,0.7447,-1.1748,6
3.7501,1.2417,-1.8237,6
4.5797,1.2015,-1.1227,6
3.5281,-0.1791,-0.8451,6
4.8688,0.3804,-1.135,6
4.8688,0.3804,-1.135,6
4.9379,0.7565,-1.8437,6
3.0519,1.1952,-1.9449,6
-0.8295,0.2523,-0.2172,6
-0.8295,0.2523,-0.2172,6
-2.0821,-1.059,-0.4993,6
-3.0582,-1.4955,-1.3851,6
-2.8724,-1.1739,-1.4788,6
-2.0855,0.8333,-0.3469,6
-2.0262,-0.9659,-0.4698,6
-1.6276,-1.6942,-0.7239,6
-0.5307,-0.8514,-1.3134,6
-0.414,0.6677,-1.1093,6
-0.3566,0.8986,-0.4182,6
-0.0942,0.3527,-0.0019,6
0.0671,0.2358,0.2151,6
0.4363,-0.2277,0.499,6
0.2624,-0.3995,0.6261,6
0.6397,0.2854,0.1389,6
1.127,0.663,-0.0386,6
1.1076,0.5464,0.0655,6
1.1323,-0.1253,0.4259,6
1.3752,-0.4426,0.5625,6
1.2081,-0.2399,0.4123,6
1.368,0.4215,0.1291,6
1.368,0.4215,0.1291,6
1.6662,0.1322,0.2275,6
