accx,accy,accz,label
0.4907,0.1473,-0.2567,4
0.4569,0.1682,-0.2707,4
0.4649,0.144,-0.2828,4
0.4663,0.1552,-0.2626,4
0.4377,0.1697,-0.2954,4
0.4331,0.1595,-0.293,4
0.4167,0.1827,-0.3066,4
0.4061,0.1573,-0.3031,4
0.368,0.1506,-0.3009,4
0.4018,0.1201,-0.3099,4
0.4307,0.1468,-0.3047,4
0.4237,0.1729,-0.3156,4
0.4289,0.1522,-0.2823,4
0.4428,0.1529,-0.2843,4
0.447,0.145,-0.28,4
0.4398,0.1601,-0.2921,4
0.4452,0.1489,-0.2746,4
0.445,0.1731,-0.2677,4
0.4208,0.149,-0.2649,4
0.4372,0.1429,-0.2971,4
0.4342,0.1676,-0.264,4
0.4228,0.16,-0.2722,4
0.4795,0.1821,-0.2765,4
0.4796,0.2056,-0.2766,4
0.4834,0.1791,-0.274,4
0.4834,0.1791,-0.274,4
0.4468,0.132,-0.2464,4
0.4328,0.0755,-0.2478,4
0.456,0.1277,-0.2531,4
0.4375,0.1392,-0.2853,4
0.475,0.1427,-0.3267,4
0.4636,0.159,-0.2923,4
0.4351,0.171,-0.2626,4
0.4234,0.1508,-0.2816,4
0.3849,0.1577,-0.2811,4
0.3947,0.1552,-0.2864,4
0.3767,0.193,-0.2875,4
0.4424,0.1389,-0.2984,4
0.4471,0.1578,-0.3109,4
0.3998,0.1453,-0.2883,4
0.3864,0.1405,-0.2896,4
0.4407,0.18,-0.312,4
0.445,0.2075,-0.324,4
0.3868,0.1697,-0.2399,4
0.3683,0.1025,-0.2527,4
0.3926,0.0842,-0.2741,4
0.4384,0.1265,-0.2988,4
0.4463,0.1706,-0.2806,4
0.4374,0.1386,-0.3045,4
0.4767,0.1642,-0.2546,4
0.466,0.1261,-0.2575,4
0.4487,0.1573,-0.2766,4
0.4294,0.1644,-0.2459,4
0.4293,0.1642,-0.2841,4
0.412,0.1716,-0.2971,4
0.3858,0.1791,-0.2425,4
0.4311,0.1707,-0.2941,4
0.3923,0.1463,-0.3083,4
0.438,0.1627,-0.2677,4
0.4346,0.1657,-0.2711,4
0.447,0.1986,-0.2777,4
0.4437,0.1341,-0.2899,4
0.4594,0.1565,-0.28,4
0.48,0.1499,-0.2753,4
0.48,0.1499,-0.2753,4
0.4708,0.1359,-0.2941,4
0.4445,0.1024,-0.245,4
0.4795,0.2016,-0.2574,4
0.4713,0.1331,-0.2634,4
0.4353,0.1454,-0.2489,4
0.3845,0.2085,-0.3055,4
0.4023,0.1832,-0.325,4
0.3846,0.1693,-0.3127,4
0.3966,0.1902,-0.3038,4
0.3966,0.1902,-0.3038,4
0.4018,0.1737,-0.2727,4
0.4026,0.1775,-0.2809,4
0.4316,0.1768,-0.2783,4
0.4494,0.1788,-0.2968,4
