accx,accy,accz,label
0.976,1.6443,-1.1094,2
0.912,1.9353,-1.1722,2
0.5024,0.7587,-0.8138,2
0.7042,-0.2889,-0.651,2
1.3144,-1.2016,-0.7589,2
1.5792,-1.4715,-0.6629,2
1.6374,-2.4531,-0.0292,2
2.0161,-4.365,0.6771,2
3.1779,-7.8623,-0.2541,2
2.0586,-8.7713,-1.5625,2
-1.4571,-7.4806,-2.618,2
-1.7299,-6.972,-3.3889,2
0.5714,-3.9814,-0.8226,2
0.5548,-3.3712,0.0206,2
0.2916,-3.4434,0.16,2
-0.4302,-3.3256,0.7452,2
-2.7071,-1.5319,1.7709,2
-4.6896,1.1181,1.5327,2
-5.096,2.2193,1.1392,2
-5.093,2.4297,1.2323,2
-4.8981,2.6006,1.0109,2
-4.2538,2.6978,0.8475,2
-3.5166,2.0612,0.2722,2
-2.8841,0.3585,0.052,2
-2.3785,-0.0377,0.1952,2
-1.0952,0.1499,-0.0025,2
-0.379,0.908,-0.7148,2
0.5644,1.4854,-0.5784,2
1.4633,1.6591,-0.6212,2
1.4633,1.6591,-0.6212,2
1.6782,1.7907,-1.3039,2
2.1406,2.156,-1.7848,2
2.8685,2.8659,-1.9643,2
2.1317,2.922,-0.1731,2
1.4761,1.8258,0.7943,2
1.9696,-1.8905,0.1658,2
2.2638,-6.4318,-3.0722,2
0.7795,-9.0921,-4.8053,2
-0.5167,-6.681,-0.1975,2
-0.5167,-6.681,-0.1975,2
-1.181,-6.7486,0.0586,2
-1.5529,-6.4765,0.0744,2
-2.7364,-2.6219,0.207,2
-1.8055,-3.6208,0.7733,2
-0.7572,-5.1683,1.1264,2
-0.4349,-4.4895,1.8301,2
-0.6426,-1.8491,1.8942,2
-0.8189,0.4707,1.6394,2
-0.9273,1.6137,1.3077,2
-0.9273,1.6137,1.3077,2
-0.9479,2.1138,1.0737,2
-1.13,2.5589,0.9632,2
-0.9282,2.7065,0.8345,2
0.0596,1.6652,0.5607,2
0.6825,1.0697,0.4097,2
0.8775,1.0455,0.3253,2
0.3968,2.5282,-0.1162,2
-0.3357,3.9889,-0.7929,2
-0.3634,4.4609,-2.2303,2
2.457,1.6428,-10.5604,2
2.1246,0.7311,-4.8669,2
-0.6678,1.2576,-0.4633,2
-1.2316,2.7922,-0.7419,2
-0.0426,2.1892,-0.0988,2
-0.0426,2.1892,-0.0988,2
1.3793,-0.528,0.7227,2
3.0999,-3.6063,1.492,2
3.5486,-5.3604,1.233,2
2.8434,-8.3228,0.4292,2
2.0538,-9.8354,0.4419,2
-0.6136,-9.2865,1.4823,2
-4.0964,-7.3672,-0.8744,2
-3.9587,-6.0652,-6.6238,2
-0.5345,-3.6274,-2.0803,2
-0.5345,-3.6274,-2.0803,2
1.0881,-3.6746,-2.8476,2
-0.2148,-2.1576,-0.9736,2
-4.6029,0.1713,0.7653,2
-5.8028,1.7969,0.0302,2
-5.5826,2.5854,0.0363,2
-5.0736,3.4813,0.1126,2
-4.4287,3.4659,0.2625,2
-3.9046,2.7976,0.1857,2
-2.9034,1.3844,0.3494,2
-2.9034,1.3844,0.3494,2
-1.6046,-0.2115,-0.0168,2
0.123,-0.7792,-0.8147,2
1.5655,1.0028,-0.7333,2
2.4057,2.6826,-0.1785,2
3.5174,2.9075,-1.1591,2
4.0155,1.951,-2.8776,2
0.282,1.1312,-2.8627,2
-1.5869,0.0944,-0.5497,2
-1.2504,-0.9821,-0.0853,2
-1.2504,-0.9821,-0.0853,2
-1.726,-2.3518,-2.4005,2
-0.0904,-3.9001,-1.9649,2
0.5637,-4.7792,0.0195,2
0.5637,-4.7792,0.0195,2
1.8112,-7.8127,0.5263,2
2.2969,-10.0997,0.6773,2
-0.7158,-4.1868,0.9669,2
-1.9529,-0.6914,0.7928,2
-1.0361,-3.6893,1.622,2
-0.6086,-4.7794,2.0111,2
-1.279,-3.1252,2.1333,2
-1.514,-0.8056,1.8985,2
-1.4211,0.7854,1.7366,2
