accx,accy,accz,label
-0.2059,-0.6927,0.2716,5
-0.0446,-0.274,0.0927,5
0.0179,0.1559,0.0625,5
0.0388,0.0712,0.1062,5
0.057,-0.0654,0.1546,5
-0.2367,-0.1277,0.0015,5
-0.2768,-0.0883,-0.0905,5
-0.1844,-0.0443,-0.0435,5
-0.2044,-0.0751,-0.0222,5
-0.2555,-0.0398,0.0152,5
0.0768,-0.0652,0.0629,5
0.0243,-0.1017,0.0501,5
-0.0936,-0.0709,-0.0012,5
-0.1741,-0.0494,0.0014,5
-0.0637,-0.0749,-0.0045,5
0.0576,-0.0198,-0.014,5
0.0576,-0.0198,-0.014,5
-0.0642,0.007,-0.0304,5
-0.0151,-0.0251,0.0574,5
0.028,-0.0657,0.0158,5
-0.0622,-0.1065,-0.0146,5
-0.0944,-0.0825,0.1216,5
-0.0444,-0.0341,-0.0417,5
-0.1049,0.0217,-0.0406,5
0.0282,-0.0204,-0.0294,5
0.0298,-0.0876,0.0664,5
-0.1648,-0.0084,-0.0554,5
0.0102,-0.0969,-0.0509,5
0.077,-0.0611,-0.0191,5
0.008,-0.0546,-0.0197,5
0.008,-0.0546,-0.0197,5
-0.0219,-0.0206,-0.0554,5
0.0028,-0.0564,-0.1404,5
0.0087,-0.0442,-0.0324,5
-0.0641,-0.0203,-0.0429,5
0.0096,-0.03,-0.1392,5
0.0423,-0.0226,-0.126,5
0.0137,-0.0656,-0.0873,5
0.0341,-0.0296,-0.0966,5
0.0983,-0.0729,-0.0622,5
0.0983,-0.0729,-0.0622,5
0.0451,-0.0633,-0.0725,5
0.0146,-0.0876,-0.0622,5
-0.0185,-0.0595,-0.1444,5
0.1382,0.0243,-0.1315,5
0.1691,0.0079,-0.1221,5
0.2274,-0.0411,-0.0966,5
0.166,-0.1259,-0.0447,5
-0.0012,-0.0477,0.0438,5
-0.4229,-0.0228,0.0041,5
-0.4167,-0.0358,0.0676,5
-0.3198,-0.0486,0.0737,5
-0.3011,-0.0886,0.0516,5
-0.2011,-0.08,0.1292,5
-0.1487,-0.011,0.1134,5
-0.1487,-0.011,0.1134,5
-0.0916,-0.0211,0.0114,5
-0.0569,-0.1244,0.0203,5
-0.0251,-0.0525,-0.0641,5
0.1075,0.0563,-0.0235,5
0.108,-0.0322,-0.0547,5
0.1023,-0.0981,0.0222,5
0.0745,-0.0698,-0.0068,5
0.0595,-0.0295,-0.0075,5
-0.0055,-0.0588,-0.1142,5
-0.033,-0.0538,-0.1151,5
-0.0563,-0.0585,-0.0913,5
0.0459,-0.0056,-0.0944,5
0.0438,-0.0138,-0.0538,5
0.1144,0.0025,-0.1148,5
0.0864,-0.0632,-0.0855,5
0.0486,-0.0755,-0.0616,5
0.0164,-0.0243,-0.0685,5
0.044,-0.0321,0.0271,5
-0.0313,-0.0782,-0.0458,5
0.0085,-0.0734,-0.0182,5
-0.0712,-0.045,0.0307,5
-0.0827,-0.0567,-0.0364,5
0.0101,-0.0647,0.0163,5
-0.0411,-0.0867,0.036,5
-0.0411,-0.0867,0.036,5
-0.0424,-0.0726,-0.008,5
0.0533,-0.1299,0.0385,5
0.0127,-0.1491,-0.0684,5
0.0889,-0.0727,-0.2671,5
0.1866,-0.0125,-0.3623,5
0.4279,0.0667,-0.3567,5
0.3381,0.1258,-0.2972,5
0.1388,-0.0825,-0.1986,5
0.0114,-0.016,0.0976,5
0.0114,-0.016,0.0976,5
-0.0629,-0.0717,0.1607,5
-0.2258,-0.0577,0.1626,5
-0.298,-0.0406,0.1411,5
-0.3345,0.0174,0.2201,5
-0.3458,-0.0224,0.2514,5
-0.3798,-0.0891,0.2502,5
-0.3122,-0.1831,0.2977,5
-0.3163,-0.0679,0.2218,5
-0.1267,0.0404,0.0777,5
-0.1267,0.0404,0.0777,5
-0.1179,-0.0027,0.1004,5
-0.1525,-0.0917,0.1041,5
-0.1013,-0.021,-0.0102,5
-0.1052,-0.0089,0.0044,5
-0.0614,-0.0408,-0.0187,5
-0.0023,-0.0858,-0.0566,5
0.0765,-0.0448,-0.0467,5
0.1481,-0.0242,0.0053,5
0.161,-0.1013,-0.0518,5
0.1475,-0.0827,-0.1042,5
0.0845,0.0581,-0.1475,5
-0.0581,-0.0207,-0.0202,5
-0.1175,-0.0894,-0.0534,5
-0.1304,-0.0186,-0.0997,5
-0.1304,-0.0186,-0.0997,5
-0.0673,-0.0178,-0.015,5
-0.0726,0.0393,-0.0126,5
-0.0289,0.0305,-0.068,5
-0.1594,-0.0389,-0.0251,5
-0.1187,-0.1056,0.0167,5
-0.1679,-0.0598,0.0934,5
-0.2049,-0.0577,0.0594,5
-0.0987,-0.0428,0.051,5
-0.1041,-0.0515,0.0991,5
-0.0962,-0.0656,0.0518,5
-0.0486,-0.0678,-0.0079,5
0.1637,-0.0554,0.0146,5
0.1637,-0.0554,0.0146,5
0.0356,-0.1189,-0.1779,5
0.0782,-0.0951,-0.1539,5
0.2057,-0.041,-0.0756,5
0.1128,0.0031,-0.0874,5
0.2343,-0.0664,-0.1333,5
0.2465,-0.0431,-0.0655,5
0.1777,-0.0803,-0.113,5
0.1481,-0.0212,-0.1716,5
0.0563,-0.0252,-0.0387,5
-0.0789,-0.0852,-0.0853,5
-0.0789,-0.0852,-0.0853,5
0.058,-0.0249,-0.1214,5
0.0283,-0.0169,-0.056,5
-0.046,-0.0923,0.0825,5
-0.1048,-0.032,-0.066,5
-0.0266,-0.1106,-0.0814,5
-0.0146,-0.0125,-0.0378,5
-0.0394,-0.0813,-0.0172,5
0.0268,-0.0986,-0.0056,5
0.0222,-0.0582,-0.0387,5
0.0222,-0.0582,-0.0387,5
0.0501,-0.0376,-0.0323,5
-0.0233,-0.0738,0.003,5
-0.0704,-0.0594,0.0318,5
-0.0653,-0.0715,0.0334,5
-0.0764,-0.0766,0.0108,5
