accx,accy,accz,label
-4.0711,-9.2277,-0.7744,1
-9.9446,-10.3757,1.5959,1
0.872,5.7417,-7.4504,1
13.8134,5.2521,-1.4408,1
6.1606,0.1971,-7.1096,1
-0.1782,-3.9404,-6.5231,1
-3.1613,-6.1711,-0.8391,1
0.1766,0.1209,-1.5761,1
2.4897,3.2642,-2.1787,1
2.4061,3.1189,-2.3224,1
1.27,0.8072,-1.7231,1
-0.5764,-0.9548,-0.5924,1
-1.6223,1.284,-0.6998,1
-1.6223,1.284,-0.6998,1
-0.6924,1.5984,-0.2897,1
-0.5915,1.0248,0.33,1
-0.8326,0.6861,-0.4923,1
-0.9808,1.1016,-0.0425,1
-1.0607,-0.0207,2.0127,1
-1.8026,0.7438,2.2302,1
-2.0074,1.2639,1.6961,1
-2.8125,-0.3131,1.046,1
-1.8739,-1.1626,2.2469,1
-2.9874,-0.9574,-2.3056,1
-2.9874,-0.9574,-2.3056,1
-2.2853,-2.3688,1.0063,1
-2.5253,-2.7216,3.0184,1
-4.611,-4.4364,1.2381,1
-3.2236,-5.1654,2.3591,1
0.3059,-4.4017,4.6068,1
4.3368,-2.7332,3.6486,1
6.6368,-4.2186,1.4678,1
7.2962,-4.63,-5.5279,1
-0.9503,-2.3456,-3.5273,1
-0.9503,-2.3456,-3.5273,1
-3.453,-3.0557,-0.6949,1
-1.3636,-3.3948,-2.1034,1
3.0011,2.8534,-3.4299,1
3.0011,2.8534,-3.4299,1
4.5402,5.3184,-3.0842,1
4.6007,5.5024,-3.388,1
4.694,4.7736,-3.2865,1
4.2413,4.0858,-3.1956,1
4.2965,4.6933,-3.1951,1
4.5155,5.0696,-2.8682,1
4.8148,5.0675,-2.1954,1
4.2016,3.2228,-0.752,1
1.6831,0.6084,1.1723,1
-7.4816,-6.6059,10.6216,1
-7.4816,-6.6059,10.6216,1
-9.6461,-14.6784,8.6113,1
-6.9066,-11.2743,5.878,1
0.4674,0.8347,1.6981,1
7.9317,9.7955,-1.0243,1
5.2783,-7.5163,0.0018,1
-1.6603,-9.4709,2.2792,1
-3.6958,-7.4757,-1.9676,1
5.209,5.4426,-4.1984,1
13.0347,8.4922,-0.615,1
13.0347,8.4922,-0.615,1
1.0172,0.1812,-9.5477,1
