accx,accy,accz,label
1.7274,1.4179,0.5166,2
7.0307,3.176,5.5681,2
5.9512,3.2874,3.9704,2
4.5075,3.3665,1.7635,2
3.3533,2.3584,0.1184,2
-1.475,-3.1866,-13.9371,2
0.1767,-4.7709,-12.5046,2
4.6058,-0.2526,4.0661,2
5.3147,-0.1,3.9677,2
5.3943,-0.0228,0.2863,2
4.4557,-0.4474,-0.2443,2
-0.3415,-4.1932,-1.6649,2
-0.6169,-4.6082,-2.0555,2
-1.9892,-7.0426,-4.3736,2
-2.2611,-8.0639,-5.3645,2
-0.7972,-4.2315,-5.7631,2
2.0276,-1.0175,-3.6315,2
4.214,-1.6349,0.0347,2
3.4158,-3.3928,1.9876,2
3.4158,-3.3928,1.9876,2
2.3898,-4.5225,2.642,2
0.0523,-5.0912,4.3006,2
0.0523,-5.0912,4.3006,2
-2.7069,-4.8894,2.7913,2
-3.1631,-4.3917,1.017,2
-3.1477,-1.9002,-2.2594,2
-3.6622,-0.7249,-6.66,2
-6.7594,1.5349,-9.5074,2
-6.7266,3.0923,-4.1348,2
-5.5558,3.6298,0.9659,2
-5.1041,4.8385,2.505,2
-7.1821,5.4389,1.3131,2
-8.9328,4.0578,-1.0516,2
-8.9328,4.0578,-1.0516,2
-7.0321,2.875,-0.3121,2
-5.7841,2.4449,0.5349,2
-2.6356,1.3023,1.8836,2
0.0164,-1.6509,2.0681,2
0.617,-8.1982,0.9845,2
-0.4462,-9.1519,0.6759,2
-0.9323,-12.4321,-0.6672,2
-1.3718,-6.1634,-3.7068,2
-1.7608,-0.5939,-2.9479,2
-1.5489,-0.1346,-2.9029,2
-0.9413,-0.5888,-2.246,2
-0.6604,-2.1787,-1.5323,2
0.061,-2.2869,-0.9617,2
0.061,-2.2869,-0.9617,2
-0.1377,-1.3726,-0.7814,2
-0.309,-0.8614,-0.6033,2
-0.5294,-0.0152,-0.2875,2
-0.2175,0.3598,0.239,2
0.0953,0.3326,0.7897,2
0.0953,0.3326,0.7897,2
0.2494,0.3459,1.3976,2
4.8697,2.2143,4.87,2
6.1365,2.3926,7.4141,2
5.5016,2.1267,6.1814,2
5.1862,3.0366,6.0839,2
5.4128,3.9872,5.2901,2
