accx,accy,accz,label
6.9115,-10.2584,3.4285,3
6.4628,-15.676,4.8677,3
4.7575,-17.3337,3.6288,3
-1.7652,-7.5326,1.1002,3
-4.7161,-2.7046,-4.3046,3
-7.348,-1.0156,-8.6468,3
-12.6053,0.8285,-16.0978,3
-10.2915,2.1421,-10.6072,3
-8.3279,2.3382,-3.2755,3
-5.4384,1.9713,-0.9779,3
-5.4384,1.9713,-0.9779,3
-3.8637,2.9774,-0.6539,3
-3.0495,3.8126,-0.5275,3
-1.8129,4.0463,-0.0407,3
0.3126,4.0073,0.7938,3
2.6554,2.5599,1.425,3
3.4346,0.2486,1.0005,3
5.1085,-3.4134,0.9228,3
7.1409,-6.4194,1.2826,3
7.4122,-2.322,-0.8854,3
7.1464,0.5205,-2.051,3
6.685,0.5848,-0.7707,3
4.0325,-0.2449,-3.1768,3
1.6041,-0.8465,-3.6013,3
-0.6549,-2.576,-2.3589,3
-0.6549,-2.576,-2.3589,3
-1.9647,-7.5853,-1.7744,3
-2.9201,-11.5166,-0.6133,3
-3.1881,-8.4651,-0.4064,3
-2.3183,-2.5991,0.2512,3
-2.02,-1.4215,1.3676,3
-3.3487,-1.038,2.7623,3
-3.3736,-0.9505,6.1294,3
-4.267,-0.3465,4.5909,3
-3.6892,1.5632,1.1079,3
-3.5949,1.9013,0.8879,3
-3.2669,2.7809,0.0649,3
-3.0104,3.8621,-0.3799,3
-2.274,5.3701,-0.3113,3
-1.7341,5.576,-0.217,3
-0.5927,3.9203,-0.5971,3
0.0682,2.1267,-0.9657,3
0.82,0.8717,-0.8465,3
1.1564,1.797,0.1316,3
1.9198,1.452,0.8231,3
2.6295,0.4223,-1.3005,3
2.7457,0.1063,-1.9778,3
3.3511,-0.5263,-1.3568,3
4.6653,-2.1521,0.232,3
4.8855,-2.4393,0.0438,3
5.5857,-3.43,0.1477,3
7.3131,-8.9767,2.3905,3
7.4998,-14.4119,4.6127,3
1.7194,-8.5737,0.8746,3
-0.6795,-4.8744,-0.468,3
-3.2107,-3.3702,-4.1732,3
-6.0802,-3.0044,-8.8681,3
-11.3152,-1.5689,-16.4225,3
-7.5384,0.0926,-6.7319,3
-7.2939,0.2175,-5.3586,3
-6.6591,0.4273,-2.1956,3
-4.9736,0.9894,0.1263,3
-3.0836,2.3682,1.7222,3
-2.6593,3.5961,1.7748,3
-2.2244,4.5952,1.5921,3
-1.6705,4.9798,1.1191,3
0.041,4.744,1.3658,3
1.3358,4.3924,1.9584,3
3.2464,1.4762,1.964,3
3.2464,1.4762,1.964,3
4.2066,-1.8209,1.4435,3
5.4455,-4.5605,0.014,3
7.502,-0.9202,-1.0703,3
7.502,-0.9202,-1.0703,3
6.6986,-1.0409,-1.8231,3
2.8781,-1.7805,-3.7496,3
1.1477,-3.1628,-3.6811,3
-0.6176,-5.2319,-2.4331,3
-2.4695,-11.2011,-0.8826,3
-3.1036,-11.7589,-1.4872,3
-2.9975,-6.0782,-1.5434,3
-2.1625,-1.6309,-0.9003,3
-2.0422,-0.8937,-0.5693,3
-3.521,0.7968,5.4533,3
-3.521,0.7968,5.4533,3
-2.2256,-0.1342,9.7326,3
-3.9278,0.1488,4.0749,3
-3.2061,1.9648,0.816,3
-2.2919,3.28,-0.5827,3
-1.8881,3.9425,-0.8287,3
-1.3123,4.2307,-0.938,3
-0.4679,3.0153,-1.2927,3
0.6662,1.7896,-1.382,3
1.7161,1.357,-1.3914,3
1.7161,1.357,-1.3914,3
2.0051,1.8722,-0.7235,3
2.1552,2.63,-0.2355,3
2.7655,2.8091,0.2021,3
3.5547,0.7083,-2.2744,3
3.3844,0.4519,-2.7262,3
3.6344,1.1658,-2.3732,3
4.1511,1.1492,-1.0518,3
4.8224,-0.9035,-1.0487,3
5.8958,-4.3582,-0.0364,3
8.5992,-9.5892,4.4511,3
6.4939,-14.0894,3.9559,3
3.2304,-14.8017,2.424,3
-1.097,-8.5846,0.8648,3
-3.5726,-4.118,-2.2665,3
-3.5726,-4.118,-2.2665,3
-4.4682,-2.5153,-4.6645,3
-6.6542,-1.014,-9.5989,3
-11.41,0.5181,-17.6301,3
-6.5417,2.6891,-4.5726,3
-6.4825,2.5162,-2.1549,3
-5.64,2.7244,-0.1801,3
-3.5587,3.4888,2.0558,3
-2.5569,4.4424,2.8685,3
-1.4537,4.594,2.2295,3
-1.4537,4.594,2.2295,3
-0.5512,4.4553,2.6411,3
0.6934,3.6599,3.4392,3
2.0882,1.115,3.6268,3
4.0582,-5.4479,2.9028,3
5.7778,-8.148,-0.0865,3
7.1566,-9.9439,-1.3647,3
6.8657,-9.9397,-3.2819,3
3.0116,-1.6617,0.9428,3
0.5716,-2.8081,-3.6372,3
0.5716,-2.8081,-3.6372,3
-1.3583,-7.4197,-4.5563,3
-4.0118,-7.8744,-5.5432,3
-4.3347,-1.7871,-3.6905,3
-4.1287,-1.2133,-3.3328,3
-3.3841,0.1386,-2.0338,3
-2.754,0.8375,-0.5529,3
-3.1307,-0.1147,2.0381,3
-2.1415,-2.7092,11.3602,3
-3.8806,-2.571,12.0344,3
-4.7909,0.5362,5.3293,3
-3.7076,2.9115,1.9639,3
-2.5849,3.7369,0.4877,3
-2.2236,3.4516,-0.4666,3
-0.2963,1.8424,-1.6381,3
-0.2963,1.8424,-1.6381,3
0.136,0.4071,-2.2522,3
0.2414,-0.7994,-2.247,3
0.9363,-1.7204,-1.4048,3
1.843,-1.3937,-0.0407,3
4.2104,-2.444,-0.8045,3
5.8743,-2.5674,-2.6982,3
7.203,-3.7889,-2.3086,3
9.7566,-6.1325,-0.6903,3
9.7566,-6.1325,-0.6903,3
11.1525,-4.7808,-1.2782,3
12.4381,-0.9543,-3.2495,3
4.8887,-1.0995,-3.2569,3
4.8887,-1.0995,-3.2569,3
1.9326,-6.1987,-0.8225,3
-3.102,-11.9445,1.4814,3
-9.3921,-13.95,3.9776,3
-11.9566,-10.0321,6.1766,3
-8.1199,-3.3042,3.2817,3
-7.4363,0.078,1.5994,3
-6.7585,2.117,0.8637,3
-6.5627,4.8127,-1.1371,3
-7.0283,5.4778,-2.5597,3
-8.075,3.4172,-3.0198,3
-8.075,3.4172,-3.0198,3
-8.4345,1.6246,-1.0561,3
-8.4124,1.5505,0.2663,3
-7.4427,2.2787,1.0877,3
-5.7488,1.1581,1.3414,3
-4.0843,-2.3423,0.1455,3
3.3944,-6.9878,0.6086,3
9.4759,-11.3917,-0.9468,3
13.0183,-11.0602,-1.3118,3
9.3593,-1.5542,-0.4048,3
9.3593,-1.5542,-0.4048,3
6.7623,2.0038,0.703,3
4.717,3.913,0.4422,3
3.6077,1.2926,-2.3774,3
-0.3375,-2.9374,-3.9088,3
-1.5768,-1.8465,-3.1826,3
-2.8953,-0.1122,-0.995,3
-3.5524,-0.2645,-0.1463,3
-4.667,-1.4668,0.1331,3
-5.3811,-2.9165,0.3925,3
-5.4716,-2.5604,1.3339,3
-5.3844,-1.2867,2.7986,3
-2.2838,-0.9007,3.1177,3
-1.8771,-0.2824,3.3285,3
-0.8942,1.7078,6.4768,3
-0.1116,2.1913,5.555,3
-1.2138,2.0236,3.6892,3
-1.876,2.4248,2.1911,3
-1.2904,1.6081,1.478,3
0.1501,-0.2326,0.6684,3
0.5691,-1.0535,0.3558,3
1.272,-1.86,-0.0064,3
2.802,-2.5178,-1.1227,3
4.2574,-2.8722,-2.6248,3
5.9084,-1.7551,-4.7945,3
5.9084,-1.7551,-4.7945,3
8.5768,0.1038,-8.3174,3
5.729,1.5612,-5.3521,3
5.3317,2.3849,-3.4816,3
6.9184,0.9171,0.3851,3
7.0383,-3.6698,1.6129,3
6.3542,-5.4441,0.1223,3
5.7465,-5.3076,-0.8862,3
6.6918,-2.0516,-2.4969,3
5.2728,-1.1284,-2.8254,3
2.2741,-3.2192,-1.5785,3
-1.9637,-6.5213,-1.6855,3
-6.1199,-8.1915,-2.1813,3
-10.0635,-6.7357,-1.0273,3
-9.9519,-2.5943,1.1516,3
-9.9519,-2.5943,1.1516,3
-7.9453,-0.5327,2.2863,3
-5.3408,2.0886,1.0226,3
-4.5594,3.6167,-0.7761,3
-3.2991,4.6882,-3.3039,3
-2.5978,4.8227,-3.6265,3
-4.0013,3.3888,-2.4789,3
-5.0989,2.1592,-1.2126,3
-5.3213,2.3045,-0.0656,3
-4.3584,3.0635,0.4359,3
-4.1949,3.1279,0.3914,3
-3.4954,2.6322,0.0481,3
-1.5872,0.5209,-0.3057,3
-1.0278,0.0266,-0.2969,3
3.6007,-3.1226,-0.9733,3
5.0017,-2.3692,-1.7201,3
6.7366,-0.3188,-2.0306,3
7.422,1.7591,-2.0518,3
7.921,1.5568,-1.874,3
5.6971,0.2231,-1.989,3
5.6971,0.2231,-1.989,3
3.5498,-1.3085,-2.037,3
2.023,-7.3415,-2.1795,3
0.5475,-17.1693,-2.5271,3
-1.1804,-9.6174,-0.5122,3
-0.4869,-5.5414,-0.7199,3
-0.9946,-1.0485,0.1616,3
-1.3764,1.2656,0.9954,3
-3.285,0.9465,2.6722,3
-3.8347,-1.6827,5.5082,3
-5.0479,0.049,0.7715,3
-5.0479,0.049,0.7715,3
-4.4787,1.9879,-0.1282,3
-2.4653,5.8199,-1.6047,3
-2.3297,6.0621,-1.7329,3
-2.3214,5.9357,-2.0301,3
-2.07,4.1951,-2.5641,3
-1.5815,2.3952,-2.7119,3
-1.1975,1.0909,-2.2932,3
-0.669,1.4589,-1.5472,3
-0.141,1.9423,-0.9526,3
0.6959,1.7412,-0.2706,3
1.7727,0.5828,-0.1484,3
2.3799,0.1427,-1.846,3
2.3799,0.1427,-1.846,3
2.9331,-0.6676,-2.1376,3
4.1295,-2.6799,-1.579,3
5.3624,-6.0448,-0.3517,3
6.9542,-12.2751,0.5153,3
8.8317,-15.0427,3.5413,3
6.9058,-11.3999,1.8824,3
1.1313,-4.4737,0.986,3
-1.9867,-1.4325,-1.3247,3
-3.9856,-0.3001,-2.4642,3
-4.8752,-0.326,-3.484,3
-6.22,0.2611,-5.6138,3
-8.7328,1.5983,-10.2285,3
-7.0868,3.5428,-5.4247,3
-6.0114,4.8425,-1.9609,3
-6.0114,4.8425,-1.9609,3
-5.0385,5.9636,-0.7414,3
-3.9586,6.4137,0.3988,3
-2.9691,6.1893,1.0178,3
-0.0232,2.4639,1.3766,3
1.2521,1.4594,1.4868,3
2.1741,0.3685,1.7528,3
3.2482,-1.621,1.4849,3
4.3495,-3.9204,0.5524,3
6.1893,-1.1633,-2.0623,3
6.1893,-1.1633,-2.0623,3
7.2029,1.0661,-2.4328,3
7.9247,0.6761,-0.6308,3
5.9679,-0.3472,-2.3078,3
3.1874,-1.5294,-3.1341,3
2.0654,-5.6607,-2.2711,3
1.6702,-11.5002,-1.4815,3
0.8605,-14.6448,-0.6683,3
0.3386,-7.2822,-0.2915,3
-0.7662,-0.9349,-0.0715,3
-0.7662,-0.9349,-0.0715,3
-1.0666,0.4701,0.9901,3
-2.375,-0.232,3.5844,3
-5.5183,0.1924,3.6866,3
-5.0651,0.7819,2.9435,3
-3.3242,2.7257,1.0796,3
-2.3085,4.061,0.1233,3
-1.3606,5.6314,-1.208,3
-1.3061,5.0396,-2.0472,3
-1.1306,4.2474,-2.5205,3
-0.3296,3.0241,-2.0373,3
0.4689,2.4898,-1.5319,3
3.8063,1.8867,-1.077,3
3.9802,2.5956,-2.5502,3
3.2094,3.751,-2.4086,3
3.2094,3.751,-2.4086,3
3.6684,3.1511,-1.481,3
3.9597,2.3392,-0.4076,3
5.4008,0.0223,1.1631,3
6.6448,-2.8037,-0.4977,3
8.3014,-7.516,2.0838,3
8.3627,-14.3612,1.7711,3
7.6512,-21.6563,4.9907,3
3.0041,-15.6014,3.6852,3
-2.3099,-3.9216,-1.3482,3
-2.3099,-3.9216,-1.3482,3
-5.0139,-1.2569,-4.2545,3
-6.4287,-0.3914,-5.8094,3
-11.8862,0.6749,-16.091,3
-8.5986,2.4092,-6.4407,3
-6.5611,2.6358,-0.8244,3
-5.353,2.6979,-0.2195,3
-4.49,3.5724,0.7843,3
-3.3012,4.7793,0.2318,3
-2.6543,5.539,0.146,3
-1.5757,6.0884,0.3432,3
0.081,5.6885,0.6484,3
1.8234,4.3923,1.4087,3
3.8412,1.2378,2.0108,3
5.144,-3.8921,0.78,3
5.3917,-4.7936,0.3008,3
6.6102,-6.5539,-1.7195,3
8.1251,-4.8765,-2.3516,3
9.9188,-3.5502,-0.9849,3
6.1506,-3.415,-3.095,3
2.7824,-0.8427,-3.1247,3
1.4621,-1.4747,-2.5187,3
0.758,-7.7639,-1.9697,3
-0.4511,-13.1249,-1.3272,3
-1.936,-5.4964,-1.6819,3
-1.936,-5.4964,-1.6819,3
-2.189,-2.8405,-1.4229,3
-2.2272,-0.6479,-0.328,3
-1.9792,0.028,1.1801,3
-1.1177,-1.445,7.215,3
-2.519,0.8617,5.7637,3
-3.1715,1.9817,4.2239,3
-1.5827,4.2534,1.3214,3
-1.2166,5.1645,-0.1135,3
-0.8628,5.2777,-0.3981,3
-0.8628,5.2777,-0.3981,3
-0.3307,4.2228,0.1207,3
0.4916,3.0239,-0.2884,3
2.3323,0.8239,-1.4327,3
2.8524,0.5177,-1.3364,3
4.3134,-0.0739,-2.1218,3
4.4686,0.2953,-2.9358,3
3.964,2.1614,-2.7459,3
4.1753,3.2875,-1.6341,3
5.464,2.4747,-0.2979,3
5.5687,1.3673,-0.2913,3
5.3245,-0.0247,-0.3661,3
5.75,-7.6237,2.2833,3
6.5275,-21.5224,4.4477,3
6.5275,-21.5224,4.4477,3
6.1842,-25.6113,5.0715,3
0.6588,-11.7984,1.9077,3
-2.1465,-4.1034,-1.1308,3
-4.6717,0.9233,-5.8006,3
-6.1876,1.961,-7.8985,3
-12.1043,2.97,-15.7462,3
-8.4245,2.9496,-6.7921,3
-7.9881,2.9083,-4.7024,3
-7.3801,3.8632,0.326,3
-6.1301,5.3106,-0.155,3
-4.9591,6.0945,-0.2791,3
-3.2448,5.7876,0.1508,3
-0.5232,3.6015,0.7491,3
-0.5232,3.6015,0.7491,3
1.9809,1.2079,1.8995,3
2.8533,-1.7042,1.9324,3
3.0956,-4.0526,1.4268,3
3.3233,-5.811,0.4671,3
4.5775,-1.3406,-0.3856,3
5.4439,0.2065,-0.9511,3
6.5137,-1.7451,0.2523,3
4.3748,-3.9694,-1.4254,3
1.8721,-1.3695,-1.6173,3
1.0454,-5.7134,-0.5096,3
1.0454,-5.7134,-0.5096,3
1.6835,-10.9474,0.032,3
1.8229,-9.8026,-0.0574,3
