accx,accy,accz,label
0.2021,0.0391,0.0825,6
0.0036,0.1924,0.0083,6
0.6653,0.5864,-0.3467,6
1.1254,0.4375,-0.5533,6
1.1295,0.3212,-0.672,6
0.5413,-0.5659,-0.2528,6
0.7302,0.2887,0.6983,6
0.8375,-0.1267,0.5234,6
0.7518,0.0761,0.4624,6
0.7518,0.0761,0.4624,6
0.7014,0.2308,0.4393,6
0.8666,-0.1036,0.8423,6
0.9228,0.1721,0.0164,6
0.2073,-0.0067,0.242,6
0.2073,-0.0067,0.242,6
0.6028,0.1855,0.5512,6
0.7034,0.1968,0.4513,6
0.7795,0.12,0.3646,6
0.6134,0.0608,0.0306,6
0.5981,0.0253,-0.0148,6
0.7884,0.0844,-0.0721,6
0.8017,0.0554,-0.0388,6
0.9297,0.0961,-0.1598,6
0.7845,0.0558,-0.3382,6
0.7639,0.0077,-0.2345,6
0.7231,-0.1743,0.1263,6
0.9263,-0.0448,0.3586,6
0.8847,-0.121,0.6422,6
0.4912,0.1094,0.4276,6
0.6457,0.188,0.0769,6
0.8165,0.2736,0.1305,6
0.6856,0.2635,-0.1309,6
0.5571,0.1757,-0.3074,6
0.5571,0.1757,-0.3074,6
0.4795,0.0908,-0.0654,6
0.693,0.1872,-0.0157,6
0.7976,-0.2114,0.6488,6
0.7786,-0.0583,0.8204,6
0.6975,0.1666,0.2086,6
0.5317,0.1541,0.0982,6
0.7376,0.2573,-0.0872,6
0.6574,0.3206,-0.1326,6
0.5614,0.07,0.0817,6
0.793,0.0729,0.1879,6
0.793,0.0729,0.1879,6
0.8572,0.0231,0.2919,6
0.7539,-0.036,0.4177,6
0.8524,-0.1067,0.2879,6
0.8661,0.0232,0.2766,6
0.928,0.037,0.3953,6
0.8058,-0.0123,0.4155,6
0.5724,-0.0365,0.2817,6
0.4311,-0.0775,0.1266,6
0.9182,0.0012,0.2351,6
0.9182,0.0012,0.2351,6
1.165,0.0059,0.3398,6
1.1521,-0.0133,0.1642,6
0.906,-0.2514,0.1455,6
0.8833,-0.2659,0.0618,6
0.9654,-0.1801,0.0386,6
0.7747,-0.1801,0.017,6
0.3291,-0.3015,0.0134,6
0.9481,0.3807,-0.2103,6
1.0754,0.3293,-0.3149,6
0.6263,0.3141,-0.1666,6
0.8359,0.2512,-0.3134,6
0.6659,0.3812,0.1414,6
0.6175,0.1232,0.4045,6
0.6528,-0.0283,0.4739,6
0.8869,-0.0395,0.5893,6
0.755,-0.1315,0.3684,6
0.9043,0.0901,-0.0638,6
1.0205,0.4374,-0.3681,6
0.8682,0.3307,-0.3688,6
0.571,0.1955,-0.2857,6
0.7143,0.2084,0.0714,6
0.923,0.2259,0.1634,6
1.0557,0.3078,-0.1825,6
1.0557,0.3078,-0.1825,6
0.5756,0.2124,-0.157,6
0.3564,0.1632,0.0287,6
0.2227,-0.0736,1.1631,6
0.2227,-0.0736,1.1631,6
0.0823,-0.1453,1.1507,6
0.0163,-0.1457,1.075,6
0.2269,0.0443,0.9719,6
0.6363,0.4704,0.8524,6
0.3711,0.4095,0.6291,6
0.3841,0.0896,0.3822,6
0.3165,-0.1689,0.6672,6
0.3231,-0.1214,1.1253,6
0.498,-0.1401,1.266,6
1.0439,-0.1139,0.2553,6
1.0439,-0.1139,0.2553,6
0.9346,0.2165,-0.3359,6
0.8396,0.8911,-0.9956,6
0.9715,0.906,-1.1919,6
1.8468,0.8773,-1.7301,6
1.6246,0.8058,-1.831,6
1.0516,0.1965,-1.1589,6
0.7921,-0.2443,0.0833,6
-0.0876,-0.3182,0.577,6
1.0095,0.3998,-0.1741,6
1.0095,0.3998,-0.1741,6
1.4083,0.5414,-0.5934,6
1.4104,0.5016,-0.2927,6
1.1052,0.0265,0.0817,6
0.5444,-0.4443,1.3058,6
0.7556,-0.5139,1.999,6
1.5468,-0.5232,2.4485,6
1.6793,-0.1761,2.0054,6
1.8286,0.1917,0.9694,6
1.8988,0.2201,-0.2514,6
1.8988,0.2201,-0.2514,6
0.9344,0.0012,-0.574,6
0.6007,0.1878,-0.3741,6
0.1771,-0.1042,-0.4219,6
-0.388,-0.4796,-0.2475,6
-0.388,-0.4796,-0.2475,6
-0.6128,-0.4982,-0.3174,6
-0.7815,-0.5522,-0.1295,6
-0.9324,-0.7005,0.1843,6
-0.6578,-0.551,0.6851,6
-0.3618,-0.4303,0.8287,6
-0.0662,0.0208,0.3128,6
0.0785,0.2468,-0.5921,6
0.1416,0.2392,-0.7515,6
-0.016,0.0308,-0.3712,6
-0.0112,0.0009,-0.2847,6
0.3017,-0.1523,0.1052,6
0.4702,-0.1984,0.6819,6
0.5462,-0.0558,1.0921,6
0.4586,-0.1812,0.8312,6
0.427,-0.3384,0.5429,6
0.6483,-0.2259,0.3888,6
1.1952,0.0536,0.4976,6
1.6925,0.164,0.8503,6
1.6667,0.2116,0.7664,6
1.5246,0.2365,0.5707,6
1.1588,0.2123,-0.049,6
0.8739,0.2744,-0.1953,6
0.66,0.1169,-0.0969,6
0.7497,-0.1082,0.4048,6
0.7458,-0.0551,0.519,6
0.6506,-0.0274,0.6544,6
0.5691,-0.0042,0.3698,6
0.7179,0.041,0.1156,6
0.703,0.3396,0.0481,6
0.783,0.419,-0.0674,6
0.7693,0.3497,-0.1554,6
0.7528,0.2077,0.0137,6
0.8518,0.3523,0.0049,6
0.8211,0.1458,0.0906,6
0.8211,0.1458,0.0906,6
0.6609,0.024,0.1868,6
0.7639,0.055,0.3008,6
0.9051,0.253,0.3454,6
0.8149,0.4958,0.0903,6
0.759,0.285,-0.1443,6
0.5459,0.2703,-0.2734,6
0.3944,0.2103,-0.3215,6
0.4127,0.0274,-0.2039,6
0.4116,0.0111,-0.2057,6
0.4116,0.0111,-0.2057,6
0.4298,-0.0391,-0.2146,6
0.4705,-0.0558,-0.0704,6
0.6628,-0.199,0.0904,6
0.6628,-0.199,0.0904,6
0.6809,-0.1256,0.0614,6
0.7215,0.0199,0.2466,6
0.9983,0.1465,0.585,6
1.0532,0.2803,0.6088,6
1.0048,0.2823,0.383,6
0.9268,0.1915,0.3763,6
0.7813,0.0937,0.5941,6
0.7116,0.1176,0.6906,6
0.6533,0.1521,0.6604,6
0.6094,0.136,0.6147,6
0.5365,0.1147,0.5175,6
0.4722,0.0683,0.3212,6
0.5909,0.0879,0.1588,6
0.5646,0.162,0.1947,6
0.7566,0.2098,0.1992,6
0.8825,0.1092,0.1673,6
0.6465,-0.0153,-0.0242,6
0.6977,0.0839,-0.1408,6
0.7687,0.075,0.3112,6
0.7687,0.075,0.3112,6
0.8638,0.0585,0.2508,6
1.0158,0.2293,0.0542,6
0.5942,0.2223,0.0674,6
0.5942,0.2223,0.0674,6
0.9278,0.3455,0.1195,6
1.0088,0.1416,0.3228,6
0.6493,-0.0009,0.2519,6
0.6357,-0.0247,0.0998,6
0.3505,-0.1122,0.3252,6
0.4871,0.0037,0.3239,6
0.7039,0.1656,0.1436,6
0.7306,0.1539,0.1093,6
0.8944,0.2995,-0.0225,6
0.7935,0.1282,0.0229,6
0.7935,0.1282,0.0229,6
0.6253,0.0328,0.3214,6
0.7077,-0.0303,0.3788,6
0.6663,-0.0313,0.5745,6
0.7873,0.0332,0.3903,6
0.7247,0.0758,0.2935,6
0.7015,0.0976,0.1405,6
