accx,accy,accz,label
0.757,-0.163,-0.3514,4
0.7936,-0.2131,-0.3662,4
0.7823,-0.1494,-0.3944,4
0.7714,-0.1579,-0.3762,4
0.762,-0.1251,-0.3516,4
0.739,-0.1299,-0.3796,4
0.738,-0.0603,-0.3657,4
0.7335,-0.1042,-0.3535,4
0.7482,-0.1187,-0.3389,4
0.7442,-0.0907,-0.3148,4
0.7555,-0.1307,-0.343,4
0.7327,-0.1401,-0.3521,4
0.7659,-0.1343,-0.3465,4
0.7682,-0.14,-0.3341,4
0.7684,-0.1441,-0.3626,4
0.738,-0.1414,-0.3656,4
0.7506,-0.1313,-0.3586,4
0.7581,-0.1436,-0.3376,4
0.7877,-0.1706,-0.3615,4
0.7521,-0.1131,-0.3788,4
0.7455,-0.1134,-0.3412,4
0.7532,-0.1116,-0.3319,4
0.7827,-0.1083,-0.354,4
0.7827,-0.1083,-0.354,4
0.7454,-0.1365,-0.397,4
0.743,-0.1135,-0.364,4
0.7772,-0.1298,-0.3667,4
0.7512,-0.1525,-0.3499,4
0.7553,-0.1547,-0.3327,4
0.7556,-0.1497,-0.3607,4
0.744,-0.1469,-0.3612,4
0.7685,-0.1314,-0.4002,4
0.7329,-0.0911,-0.3419,4
0.7192,-0.1162,-0.3856,4
0.7192,-0.1162,-0.3856,4
0.7552,-0.1096,-0.3427,4
0.767,-0.0947,-0.3571,4
0.7525,-0.1307,-0.3634,4
0.7443,-0.1061,-0.3677,4
0.7711,-0.1209,-0.3754,4
0.7848,-0.1247,-0.3883,4
0.7747,-0.1394,-0.3532,4
0.7482,-0.1295,-0.3423,4
0.7121,-0.1061,-0.3757,4
0.7121,-0.1061,-0.3757,4
0.703,-0.1309,-0.4187,4
0.7579,-0.134,-0.3644,4
0.7785,-0.114,-0.3658,4
0.7639,-0.1547,-0.3561,4
0.7724,-0.1166,-0.3299,4
0.7511,-0.1019,-0.3349,4
0.7678,-0.1224,-0.3576,4
0.7766,-0.1384,-0.3944,4
0.7524,-0.1242,-0.373,4
0.7794,-0.1123,-0.3952,4
0.7552,-0.1387,-0.3598,4
0.7477,-0.1387,-0.3441,4
0.7825,-0.13,-0.3672,4
0.7783,-0.1426,-0.3337,4
0.7562,-0.1425,-0.3577,4
0.7733,-0.1208,-0.3647,4
0.7666,-0.122,-0.3711,4
0.7689,-0.1178,-0.3698,4
0.7523,-0.1165,-0.3636,4
0.7575,-0.1123,-0.3522,4
0.7528,-0.1042,-0.3613,4
0.7459,-0.1051,-0.3532,4
0.7682,-0.1196,-0.3664,4
0.7755,-0.1321,-0.3535,4
0.7344,-0.1302,-0.3752,4
0.7776,-0.1422,-0.3548,4
0.7639,-0.1224,-0.3658,4
0.7421,-0.1375,-0.3409,4
0.7506,-0.1309,-0.383,4
0.7506,-0.1309,-0.383,4
0.7553,-0.1388,-0.3466,4
0.7317,-0.087,-0.3686,4
0.7371,-0.1096,-0.3691,4
0.7954,-0.1167,-0.3903,4
0.7357,-0.1533,-0.3389,4
0.745,-0.1173,-0.3587,4
0.7573,-0.0906,-0.3526,4
0.7608,-0.1003,-0.3631,4
0.7608,-0.1003,-0.3631,4
0.7302,-0.1334,-0.4147,4
0.7496,-0.1347,-0.3586,4
0.764,-0.1245,-0.3551,4
0.7214,-0.1435,-0.3854,4
0.7665,-0.1142,-0.3611,4
0.7696,-0.119,-0.3559,4
0.7719,-0.1562,-0.3906,4
0.7413,-0.1226,-0.3531,4
0.74,-0.1228,-0.3677,4
0.7355,-0.099,-0.3823,4
0.7479,-0.1074,-0.3855,4
0.75,-0.1143,-0.3373,4
0.743,-0.1162,-0.378,4
0.743,-0.1162,-0.378,4
0.7603,-0.1254,-0.3605,4
0.7583,-0.1465,-0.3649,4
0.7557,-0.1181,-0.3739,4
0.7561,-0.1317,-0.4006,4
0.7356,-0.1481,-0.383,4
0.7382,-0.132,-0.3833,4
0.7576,-0.1279,-0.3556,4
0.7342,-0.1347,-0.3868,4
0.7447,-0.1244,-0.3354,4
0.7498,-0.1153,-0.3248,4
0.7498,-0.1153,-0.3248,4
0.7329,-0.1222,-0.3654,4
0.7422,-0.1301,-0.3939,4
0.7523,-0.1273,-0.3598,4
0.7383,-0.1363,-0.3387,4
0.7504,-0.1072,-0.3953,4
0.7506,-0.1076,-0.3514,4
0.76,-0.1258,-0.3863,4
0.7632,-0.1274,-0.3377,4
0.7466,-0.1387,-0.3539,4
0.7437,-0.1195,-0.3706,4
0.7467,-0.1481,-0.3704,4
0.7658,-0.131,-0.3724,4
0.7487,-0.0981,-0.3535,4
0.7518,-0.0981,-0.3601,4
0.7708,-0.1362,-0.3502,4
0.7592,-0.1246,-0.3639,4
0.7446,-0.123,-0.3864,4
0.748,-0.0964,-0.4088,4
0.7413,-0.0999,-0.3805,4
0.7624,-0.1194,-0.3801,4
0.7676,-0.1026,-0.3797,4
0.7436,-0.122,-0.3245,4
0.7676,-0.1083,-0.3794,4
0.7435,-0.1204,-0.3608,4
0.7504,-0.1253,-0.3657,4
0.7195,-0.1035,-0.3468,4
0.7605,-0.1444,-0.3487,4
0.7536,-0.1149,-0.3841,4
0.7609,-0.1366,-0.4002,4
0.7442,-0.1336,-0.3446,4
0.7062,-0.1285,-0.3633,4
0.7464,-0.096,-0.3797,4
0.7225,-0.1052,-0.35,4
0.7396,-0.1272,-0.3716,4
0.7566,-0.0983,-0.384,4
0.7566,-0.0983,-0.384,4
0.7662,-0.1747,-0.382,4
0.7849,-0.1266,-0.3574,4
0.7417,-0.139,-0.3579,4
0.7438,-0.0919,-0.4177,4
0.7609,-0.088,-0.3859,4
0.7459,-0.1102,-0.3756,4
0.7148,-0.115,-0.3328,4
0.7416,-0.1223,-0.3815,4
0.7335,-0.1555,-0.384,4
0.7671,-0.1343,-0.3807,4
0.7599,-0.146,-0.3504,4
0.7646,-0.1364,-0.335,4
0.7805,-0.109,-0.3661,4
0.7834,-0.0954,-0.3583,4
0.7594,-0.1157,-0.361,4
0.7251,-0.1115,-0.3565,4
0.7351,-0.0915,-0.3757,4
0.7232,-0.1042,-0.373,4
0.7303,-0.1354,-0.363,4
0.7522,-0.1412,-0.3778,4
0.7371,-0.1079,-0.387,4
0.7439,-0.0951,-0.3945,4
0.7367,-0.1195,-0.3689,4
0.7367,-0.1195,-0.3689,4
0.7276,-0.114,-0.3764,4
0.7196,-0.1326,-0.3595,4
0.7396,-0.0991,-0.3675,4
0.7724,-0.1198,-0.3635,4
0.7723,-0.1366,-0.3326,4
0.7268,-0.113,-0.3609,4
0.7528,-0.0677,-0.3422,4
0.7666,-0.1037,-0.3406,4
0.7714,-0.1268,-0.3365,4
0.7714,-0.1139,-0.3608,4
0.7354,-0.1081,-0.327,4
0.7507,-0.1029,-0.3619,4
0.7464,-0.1186,-0.3772,4
0.7555,-0.1203,-0.3598,4
0.7301,-0.134,-0.3993,4
0.7428,-0.144,-0.3873,4
0.7383,-0.1391,-0.3718,4
0.7179,-0.1569,-0.3582,4
0.7492,-0.153,-0.3866,4
0.7373,-0.1162,-0.3833,4
0.7208,-0.1327,-0.413,4
0.728,-0.1307,-0.384,4
0.7404,-0.0906,-0.3701,4
0.7404,-0.0906,-0.3701,4
0.7285,-0.1098,-0.3857,4
0.7026,-0.1332,-0.3938,4
0.7385,-0.1374,-0.3584,4
0.7279,-0.1096,-0.3263,4
0.7329,-0.1431,-0.4011,4
0.7633,-0.1236,-0.3579,4
0.744,-0.1252,-0.3543,4
0.7215,-0.128,-0.3539,4
0.7453,-0.1301,-0.3544,4
0.7574,-0.1468,-0.3705,4
0.7365,-0.1301,-0.3679,4
0.7384,-0.0969,-0.3819,4
0.7142,-0.1179,-0.3614,4
0.7433,-0.118,-0.3874,4
0.7499,-0.1067,-0.3402,4
0.7875,-0.1399,-0.3776,4
0.759,-0.1144,-0.3843,4
0.718,-0.0982,-0.3552,4
0.7281,-0.0675,-0.3639,4
0.7353,-0.12,-0.3653,4
0.7592,-0.1299,-0.3705,4
0.7234,-0.1121,-0.3632,4
0.7257,-0.129,-0.3739,4
0.7548,-0.1168,-0.3909,4
0.7568,-0.1188,-0.362,4
0.7238,-0.1284,-0.371,4
0.7551,-0.1419,-0.4042,4
0.7504,-0.1396,-0.3531,4
0.7321,-0.1129,-0.3817,4
0.7321,-0.1129,-0.3817,4
0.7571,-0.0909,-0.3849,4
0.7232,-0.1117,-0.3982,4
0.7022,-0.1191,-0.3529,4
0.75,-0.1308,-0.3659,4
0.7547,-0.1473,-0.3618,4
0.7464,-0.203,-0.3532,4
0.7424,-0.1406,-0.3611,4
0.7424,-0.1406,-0.3611,4
0.7615,-0.1128,-0.3918,4
0.7396,-0.0903,-0.3809,4
0.7307,-0.0936,-0.4072,4
0.7038,-0.1008,-0.3792,4
0.7228,-0.0851,-0.4081,4
0.7615,-0.1188,-0.3968,4
0.7582,-0.1347,-0.3618,4
0.7699,-0.1344,-0.3609,4
0.7538,-0.1301,-0.3462,4
