accx,accy,accz,label
0.0388,0.0439,-0.118,5
0.0497,-0.0161,-0.0829,5
0.0382,-0.0019,-0.0543,5
0.0188,0.0801,-0.0545,5
0.0244,0.0823,-0.022,5
0.0016,0.0604,0.0161,5
-0.048,0.0755,-0.0331,5
-0.0493,0.0485,-0.0382,5
-0.0643,0.1086,-0.0369,5
-0.1082,0.1256,-0.003,5
-0.1037,0.0846,-0.0435,5
-0.1037,0.0846,-0.0435,5
-0.0477,0.0966,-0.0279,5
-0.0588,0.0055,-0.0618,5
-0.0642,0.0205,-0.0095,5
-0.0076,0.0226,-0.0875,5
0.0058,0.0415,-0.0925,5
0.0313,0.0417,-0.0717,5
-0.141,0.1039,-0.0441,5
-0.2138,0.083,-0.0458,5
-0.1476,0.0488,0.0499,5
-0.1476,0.0488,0.0499,5
-0.0876,0.0446,0.0297,5
-0.0028,0.1037,0.0193,5
-0.0045,0.0036,0.0681,5
0.0068,0.0347,0.0294,5
-0.0628,0.1136,0.0236,5
-0.0717,0.1396,-0.0388,5
-0.082,0.0755,-0.0354,5
-0.0675,-0.0346,-0.0273,5
-0.0892,0.1112,-0.1275,5
-0.0918,0.1512,-0.101,5
-0.0518,0.0722,-0.0555,5
0.0173,0.0392,-0.0615,5
-0.0184,0.0532,-0.0089,5
-0.0548,0.0823,0.0422,5
-0.0548,0.0823,0.0422,5
-0.0744,-0.0108,0.0388,5
0.0309,0.06,-0.0089,5
0.0347,0.094,-0.0121,5
-0.0105,0.096,-0.0295,5
-0.0198,0.0701,-0.0407,5
-0.0522,0.0409,-0.0275,5
-0.0028,0.0819,-0.0343,5
0.0373,0.0629,-0.0988,5
0.0658,0.063,-0.1087,5
0.0388,0.0529,-0.0833,5
0.0173,0.08,-0.101,5
-0.0109,0.0942,-0.1011,5
-0.0061,0.0802,-0.0525,5
-0.0004,0.0444,0.0241,5
-0.0703,0.0155,0.0469,5
-0.1491,0.1015,0.0377,5
-0.1423,0.1155,0.0336,5
-0.117,0.0603,0.0293,5
-0.1063,0.0482,0.0386,5
-0.0854,0.075,-0.0001,5
0.0592,0.0889,-0.0357,5
0.0435,0.0821,-0.0735,5
-0.031,0.0651,-0.0304,5
-0.031,0.0651,-0.0304,5
-0.0879,0.0512,-0.0557,5
-0.1204,0.0772,-0.0706,5
-0.1379,0.0962,-0.0356,5
-0.1583,0.08,-0.0504,5
-0.1132,0.1151,-0.0933,5
-0.0171,0.087,-0.0513,5
-0.0352,0.092,0.0204,5
-0.0894,0.032,0.0364,5
0.0288,0.0629,0.0082,5
0.0907,0.1009,-0.0402,5
0.0772,0.0889,0.0038,5
