accx,accy,accz,label
0.2315,0.9078,2.5022,1
1.5029,0.1719,0.7958,1
2.1359,-1.2624,-0.2408,1
2.2817,-2.3671,-0.8033,1
3.3344,-3.4744,-1.9371,1
3.7862,-3.0707,-4.2986,1
6.0715,-1.0006,-8.6905,1
6.8283,-0.9271,-7.6002,1
7.3047,-2.2681,-5.2773,1
7.4817,-2.7726,-4.5609,1
8.1419,-4.9736,-0.7877,1
8.3015,-5.8175,0.0719,1
9.4696,-5.2929,-2.4327,1
9.3547,0.5264,-6.0189,1
7.8962,2.7274,-5.3719,1
5.0836,2.2402,-4.9351,1
3.0195,-3.1922,-2.466,1
-1.1733,-10.415,0.2359,1
-9.4556,-15.4733,7.5241,1
-9.6604,-14.7915,9.3142,1
-7.7484,-9.4458,8.0633,1
-7.7467,-5.2414,4.7122,1
-6.152,5.0403,1.8454,1
-6.152,5.0403,1.8454,1
-6.0653,7.5108,-2.0297,1
-6.631,7.852,-4.7591,1
-8.0209,4.6274,-4.5868,1
-8.6324,2.1943,-1.4693,1
-9.3257,1.6869,2.1416,1
-9.273,2.1043,2.1624,1
-6.4555,1.6864,1.944,1
-5.0833,-3.1194,-5.091,1
9.8038,-9.7576,-1.4571,1
15.7375,-13.6371,-0.9041,1
15.7375,-13.6371,-0.9041,1
12.0134,-6.5405,0.2094,1
9.3505,-2.5185,-0.0747,1
5.1569,-0.7751,-0.1489,1
0.6104,3.2295,0.6659,1
-1.1051,4.34,-0.5851,1
-2.2882,1.0395,-1.9161,1
-2.2476,-0.4121,-1.9356,1
-2.6339,-0.786,-1.2287,1
-3.4029,-2.4048,-0.0642,1
-3.4029,-2.4048,-0.0642,1
-3.5037,-3.0477,-0.0341,1
-4.0339,-1.5488,0.193,1
-2.8465,1.5387,0.8785,1
-2.8465,1.5387,0.8785,1
-1.1542,1.1399,1.5476,1
0.2783,1.5541,2.8752,1
0.1965,2.0768,5.0857,1
-0.525,1.2,5.5812,1
-0.9471,0.6192,2.7083,1
0.4558,0.7693,1.0629,1
1.3276,0.8567,0.0571,1
1.791,-0.2404,-0.5222,1
